"Task ID","Task Name","Assignee","Due Date","Retime frequency (drop down)","CMS LINK (url)","Content Type (drop down)","Genre ES (labels)"
"862jmtyjj","Best Movies To Watch This Valentine's Day If You're Broken Hearted","[]","Thursday, December 14th 2023","","","",""
"862jmtyjk","Best Movies To Watch This Valentine's Day If You're Single","[]","Thursday, December 14th 2023","","","",""
"862jmtyjm","Best Movies To Watch This Valentine's Day For A Romantic Date Night On Netflix","[]","Thursday, December 14th 2023","","","",""
"862jmu103","Is Keanu Reeves Returning for Constantine 2?","[]","","","","",""
"862jmu104","What is the Role of Keanu Reeves in Constantine 2?","[]","","","","",""
"862jmu1ab","Elemental Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Pixar Movie","[]","","","","",""
"862jmu1c2","Extraction 2 Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Netflix Movie","[]","","","","",""
"862jmu1qh","Ghosted Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Upcoming Movie","[]","","","","",""
"862jmu1y7","Inside Out 2 Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Pixar Movie","[]","","","","",""
"862jmu3ju","Peter Pan & Wendy Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Disney Movie","[]","","","","",""
"862jmuj83","Will There Be a Sonic the Hedgehog 3?","[]","","","","",""
"862jmujcu","The Little Mermaid Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Disney Movie","[]","","","","",""
"862jmujp9","Transformers: Rise of the Beasts Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Movie","[]","","","","",""
"862jmuj9r","Tetris Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Movie","[]","","","","",""
"862jmuj9t","Is Tetris Based On A True Story?","[]","","","","",""
"862jmuj9v","Tetris Movie: Is It Out Yet on Disney Plus, Netflix, Apple TV+ or Hulu? Where and When to Watch Stream","[]","","","","",""
"862jmuj8v","The Ballad of Songbirds and Snakes: Release Date, Cast, Plot, Trailer, News, and Everything You Need to Know","[]","","","","",""
"862jmuj8f","Is There A Post-Credits Scene In The Super Mario Bros. Movie Explained","[]","","","","",""
"862jmuj8h","When Is The Streaming Release Date For The Super Mario Bros. Movie?","[]","","","","",""
"862jmuj8j","Will There Be The Super Mario Bros. Movie 2?","[]","","","","",""
"862jmu2tj","Mighty Morphin Power Rangers: Once & Always Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Netflix Movie","[]","","","","",""
"862jmu1zx","Is the Jurassic Park Book Different Than the Movie?","[]","","","","",""
"862jmu1zy","Why is The Lost World Movie So Different From the Book?","[]","","","","",""
"862jmu1zz","Is the Jurassic Park Book Kid Friendly?","[]","","","","",""
"862jmu200","Is the Jurassic Park Movie or Book Better?","[]","","","","",""
"862jmu201","What Is the Correct Order of the Jurassic Park Movies?","[]","","","","",""
"862jmu202","When Is Camp Cretaceous Season 5 Coming Out?","[]","","","","",""
"862jmu203","Is Camp Cretaceous Season 5 The Last Season?","[]","","","","",""
"862jmu1zg","What Does The Title Mean for Joker 2: Folie À Deux?","[]","","","","",""
"862jmu1u0","Hocus Pocus 2","[]","","","","",""
"862jmu1u2","Who is Mother Witch in Hocus Pocus 2?","[]","","","","",""
"862jmu1u4","Will There Be Hocus Pocus 3?","[]","","","","",""
"862jmu1u6","Are The Original Cast in Hocus Pocus 2?","[]","","","","",""
"862jmu1n5","Fast X Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Movie","[]","","","","",""
"862jmu15d","Is Dungeons & Dragons: Honor Among Thieves a Sequel?","[]","","","","",""
"862jmu15e","How Long is the Runtime of Dungeons & Dragons: Honor Among Thieves?","[]","","","","",""
"862jmu15f","Is There a Post-credits Scene in Dungeons and Dragons: Honor Among Thieves?","[]","","","","",""
"862jmu15g","The Ending of Dungeons & Dragons: Honor Among Thieves Explained","[]","","","","",""
"862jmu15h","Is Dungeons & Dragons: Honor Among Thieves Worth Watching?","[]","","","","",""
"862jmu15j","Who Are the Villains in Dungeons & Dragons: Honor Among Thieves?","[]","","","","",""
"862jmu15k","Who is Szass Tam in Dungeons & Dragons: Honor Among Thieves?","[]","","","","",""
"862jmu15m","The Elk Tribe in Dungeons & Dragons: Honor Among Thieves Explained","[]","","","","",""
"862jmu15n","Who Is Simon’s Ancestor in Dungeons & Dragons: Honor Among Thieves?","[]","","","","",""
"862jmu15p","Will There Be a Sequel to Dungeons & Dragons: Honor Among Thieves?","[]","","","","",""
"9y1vz8","Is Neon Genesis Evangelion on Crunchyroll, Netflix, Hulu, or Funimation in English Sub or Dub? Where to Watch and Stream the Latest Episodes Free Online","[]","","","","",""
"1ec9zpx","Where to Watch and Stream Avatar Free Online - September 2021","[]","","","","",""
"1ec9zun","Where to Watch and Stream His Dark Materials Free Online - September 2021","[]","","","","",""
"1ec9zvf","Where to Watch and Stream American Horror Story Free Online - September 2021","[]","","","","",""
"1hk3gv2","Where to Watch Komi Can't Communicate: Is it on Netflix, Crunchyroll, Funimation, or Hulu in English Sub or Dub?","[]","","","","",""
"1hk3gxe","Where to Watch Platinum End : Is it on Netflix, Crunchyroll, Funimation, or Hulu in English Sub or Dub?","[]","","","","",""
"1hk3he0","Where to Watch Mieruko-chan: Is it on Netflix, Crunchyroll, Funimation, or Hulu in English Sub or Dub?","[]","","","","",""
"1hk3hg9","Where to Watch Takt Op. Destiny: Is it on Netflix, Crunchyroll, Funimation, or Hulu in English Sub or Dub?","[]","","","","",""
"1hk3hw6","Where to Watch Sakugan: Is it on Netflix, Crunchyroll, Funimation, or Hulu in English Sub or Dub?","[]","","","","",""
"1gpy9yj","Taisho Otome Fairy Tale Episode 2 RELEASE DATE and TIME, COUNTDOWN, Where to Watch","[]","","","","",""
"1gweetr","Where to Watch and Stream Nightmare Before Christmas Free Online - October 2021","[]","","","","",""
"1h7y201","Where to Watch and Stream All Ocean's Movies Free Online - October 2021","[]","","","","",""
"1h7y28p","Where to Watch and Stream All James Bond Movies Free Online - October 2021","[]","","","","",""
"1j4mahc","Where to Watch and Stream V for Vendetta Free Online - November 2021","[]","","","","",""
"1ufcdt1","Where to Watch and Stream Klaus Free Online","[]","","","","",""
"1ufcdup","Where to Watch and Stream A Christmas Story Free Online","[]","","","","",""
"1ufcdy0","Where to Watch and Stream The Santa Clause Free Online","[]","","","","",""
"1ufcdwf","Where to Watch and Stream Gremlins Free Online","[]","","","","",""
"1ufce6t","Where to Watch and Stream National Lampoon's Christmas Vacation Free Online","[]","","","","",""
"1ufce8b","Where to Watch and Stream Scrooged Free Online","[]","","","","",""
"1ufceee","Where to Watch and Stream Miracle on 34th Street (1994) and (1947) New and Old Versions Free Online","[]","","","","",""
"1ufcefa","Where to Watch and Stream White Christmas Free Online","[]","","","","",""
"1ufcejp","Where to Watch and Stream Trading Places Free Online","[]","","","","",""
"1ufceq5","Where to Watch and Stream Rudolph the Red-Nose Reindeer Free Online","[]","","","","",""
"1ufcet8","Where to Watch and Stream The Year Without Santa Claus Free Online","[]","","","","",""
"1ufcevp","Where to Watch and Stream The Muppet Christmas Carol Free Online","[]","","","","",""
"1ufcey6","Where to Watch and Stream Bad Santa Free Online","[]","","","","",""
"1ufcezm","Where to Watch and Stream Love Actually Free Online","[]","","","","",""
"1ufcf2e","Where to Watch and Stream All of the Grinch Movies Free Online","[]","","","","",""
"1ufcf4m","Where to Watch and Stream Elf Free Online","[]","","","","",""
"1ufcf6j","Where to Watch and Stream The Christmas Chronicles Free Online","[]","","","","",""
"1ufcf87","Where to Watch and Stream Krampus Free Online","[]","","","","",""
"1ufcfa0","Where to Watch and Stream A Very Harold & Kumar Christmas Free Online","[]","","","","",""
"1ufcfd3","Where to Watch and Stream Mickey's Christmas Carol Free Online","[]","","","","",""
"1ufcfef","Where to Watch and Stream Merry Christmas Free Online","[]","","","","",""
"1ufcfge","Where to Watch and Stream Happy Christmas Free Online","[]","","","","",""
"1ufcfjf","Where to Watch and Stream A Christmas Horror Story Free Online","[]","","","","",""
"1ufcfkz","Where to Watch and Stream Let it Snow Free Online","[]","","","","",""
"1ufcfn7","Where to Watch and Stream Anna and the Apocalypse Free Online","[]","","","","",""
"1ufcfpa","Where to Watch and Stream While you Were Sleeping Free Online","[]","","","","",""
"1ufcfr2","Where to Watch and Stream The Man Who Invented Christmas Free Online","[]","","","","",""
"1ufcfum","Where to Watch and Stream The Bishop's Wife Free Online","[]","","","","",""
"1ufcfvc","Where to Watch and Stream Happiest Season Free Online","[]","","","","",""
"1ufcfwk","Where to Watch and Stream A Christmas Tale Free Online","[]","","","","",""
"1ufcfy5","Where to Watch and Stream Tokyo Godfathers Free Online","[]","","","","",""
"1ufcfyr","Where to Watch and Stream Kiss Kiss, Bang, Bang Free Online","[]","","","","",""
"1ufcfz1","Where to Watch and Stream Little Women Free Online","[]","","","","",""
"1ufcg0w","Where to Watch and Stream Jingle Jangle: A Christmas Journey Free Online","[]","","","","",""
"1ufcg2n","Where to Watch and Stream Holidate for Free Online","[]","","","","",""
"1umuz2k","Where to Watch and Stream Daddy's Home for Free Online","[]","","","","",""
"1umuz55","Where to Watch and Stream The Polar Express for Free Online","[]","","","","",""
"1rqf4ek","Where to Watch and Stream Bad Moms Christmas Free Online","[]","","","","",""
"1vd5gf9","Where to Watch and Stream The Princess Switch for Free Online","[]","","","","",""
"1vk4mfz","Where to Watch and Stream The Nutcracker and the Four Realms for Free Online","[]","","","","",""
"1vk4mgf","Where to Watch and Stream Office Christmas Party for Free Online","[]","","","","",""
"1vrpfm9","Where to Watch and Stream Rare Exports: A Christmas Tale for Free Online","[]","","","","",""
"1vrpfmw","Where to Watch and Stream A Charlie Brown Christmas for Free Online","[]","","","","",""
"1vrpfp5","Where to Watch and Stream Lego Star Wars Holiday Special for Free Online","[]","","","","",""
"1vygj10","Where to Watch and Stream Angela's Christmas Wish Online","[]","","","","",""
"1w42w4h","Where to Watch and Stream Holiday Rush for Free Online","[]","","","","",""
"1w42xyv","Where to Watch and Stream The Star for Free Online","[]","","","","",""
"1w430dz","Where to Watch and Stream The Holiday for Free Online","[]","","","","",""
"1w430ej","Where to Watch and Stream Four Christmases for Free Online","[]","","","","",""
"1x6g093","Where to Watch and Stream A Boy Called Christmas Free Online","[]","","","","",""
"1x6g09z","Where to Watch and Stream Single All The Way Free Online","[]","","","","",""
"1x6g0ad","Where to Watch and Stream Father Christmas is Back Free Online","[]","","","","",""
"1x6g0b1","Where to Watch and Stream Love Hard Free Online","[]","","","","",""
"2149hqu","Where to Watch and Stream The Way We Were Free Online","[]","","","","",""
"2149hzm","Where to Watch and Stream The Danish Girl Free Online","[]","","","","",""
"2149hzx","Where to Watch and Stream Pretty in Pink Free Online","[]","","","","",""
"2149j06","Where to Watch and Stream My Best Friend’s Wedding Free Online","[]","","","","",""
"2149j0q","Where to Watch and Stream Some Like It Hot Free Online","[]","","","","",""
"2149j1f","Where to Watch and Stream A Cinderella Story Free Online","[]","","","","",""
"2149ju7","Where to Watch and Stream Me Before You Free Online","[]","","","","",""
"2149jwr","Where to Watch and Stream Four Weddings and a Funeral Free Online","[]","","","","",""
"2149k0h","Where to Watch and Stream Gone With The Wind Free Online","[]","","","","",""
"2149k3g","Where to Watch and Stream The Shape of Water Free Online","[]","","","","",""
"2149k5m","Where to Watch and Stream Sense and Sensibility Free Online","[]","","","","",""
"2149k6a","Where to Watch and Stream Brokeback Mountain Free Online","[]","","","","",""
"2149kp9","Where to Watch and Stream Nights in Rodanthe Free Online","[]","","","","",""
"2149kpk","Where to Watch and Stream The Philadelphia Story Free Online","[]","","","","",""
"1t9khb7","Where to Watch and Stream Anna Karenina Free Online","[]","","","","",""
"1t9khb9","Where to Watch and Stream Mamma Mia! Free Online","[]","","","","",""
"1t9khbb","Where to Watch and Stream Les Miserables Free Online","[]","","","","",""
"1t9khbd","Where to Watch and Stream Sweeney Todd Free Online","[]","","","","",""
"221qd0e","Where to Watch and Stream Pulp Fiction Free Online","[]","","","","",""
"221qd71","Where to Watch and Stream Kill Bill Free Online","[]","","","","",""
"2hz6gct","Where to Watch House of the Dragon in the UK?","[]","","","","",""
"862jmu0zd","Most Family Friendly Christmas Movies To Watch This Holiday Season","[]","","","","",""
"862jmu0ze","Is Jingle All the Way Kid Friendly?","[]","","","","",""
"862jmu0zg","Is How the Grinch Stole Christmas Family-Friendly?","[]","","","","",""
"862jmu0zh","Best Christmas Comedy Movies To Watch This Holiday Season","[]","","","","",""
"862jmu0zj","Best Animated Christmas Movies To Watch This Holiday Season","[]","","","","",""
"862jmu0zk","Most Romantic Christmas Movies To Watch This Holiday Season","[]","","","","",""
"862jmu0nf","Margot Robbie's Barbie Live-Action Movie Release Date, Cast, Plot, Trailer, Photo, News, and Everything You Need to Know","[]","","","","",""
"862jmu0nh","Who Is Midge in Barbie Movie?","[]","","","","",""
"862jmu0nk","Who Is Allan in Barbie Movie?","[]","","","","",""
"862jmu01t","How Many Avatar Sequels Are Coming?","[]","","","","",""
"862jmu01x","What Is Vin Diesel's Role In Avatar 2?","[]","","","","",""
"862jmu021","Is Jake Sully the Main Character In Avatar 2?","[]","","","","",""
"862jmu024","Who is Kate Winslet's Character in Avatar: The Way of Water?","[]","","","","",""
"862jmu027","Who Are The Real Parents of Spider in Avatar: The Way of Water?","[]","","","","",""
"862jmu02a","How Does Avatar: The Way of Water Set Up Avatar 3?","[]","","","","",""
"862jmu02d","Is Avatar: The Way of Water Suitable For Kids?","[]","","","","",""
"862jmu02g","Whose Heartbeat Is Kiri Hearing in Avatar: The Way of Water?","[]","","","","",""
"862jmu02j","Will Avatar: The Way of Water Stream Online on Disney Plus?","[]","","","","",""
"862jmu02n","How Did Sigourney Weaver Return As Kiri in Avatar: The Way of Water?","[]","","","","",""
"862jmu02t","Who Are The Real Parents of Kiri in Avatar: The Way of Water?","[]","","","","",""
"862jmu02y","How Old Are The Children of Jake and Neytiri in Avatar: The Way of Water?","[]","","","","",""
"862jmu031","How Is Stephen Lang's Colonel Miles Quartich Alive in Avatar: The Way of Water?","[]","","","","",""
"862jmu033","Is There A Post-Credits Scene For Avatar: The Way of Water?","[]","","","","",""
"862jmu035","The Ending of Avatar: The Way of Water Explained","[]","","","","",""
"862jmu038","Avatar 3 Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Third Movie","[]","","","","",""
"1p7eetq","Dune 2 Latest Updates: The Real Reason Why Production Has Not Been Green Lit Yet","[]","","","","",""
"1pd5n5x","Dune 2 Latest Updates: Warner Bros. Executive’s Puzzling Comment On Dune Sequel Revealed","[]","","","","",""
"2gpzydb","Can Paul Atriedes Control the Worms In Dune?","[]","","","","",""
"2gpzydy","Who Will Play The Emperor in Dune 2?","[]","","","","",""
"2gpzyea","Is Dune 2 Confirmed?","[]","","","","",""