Date,Clicks,Impressions,CTR,Position
2025-01-01,161,13456,1.2%,32
2025-01-02,173,13829,1.25%,32.6
2025-01-03,182,13727,1.33%,31.7
2025-01-04,178,19518,0.91%,35.9
2025-01-05,174,14524,1.2%,30.2
2025-01-06,172,14531,1.18%,35.4
2025-01-07,170,15506,1.1%,35.3
2025-01-08,164,14173,1.16%,33.2
2025-01-09,174,14574,1.19%,31.3
2025-01-10,164,13181,1.24%,28.6
2025-01-11,190,16811,1.13%,29.2
2025-01-12,214,14468,1.48%,25
2025-01-13,223,14225,1.57%,29.5
2025-01-14,191,14080,1.36%,28.9
2025-01-15,193,12476,1.55%,26.5
2025-01-16,177,11991,1.48%,26.2
2025-01-17,192,11972,1.6%,26.1
2025-01-18,196,17237,1.14%,29.1
2025-01-19,274,18213,1.5%,28.4
2025-01-20,225,13536,1.66%,25.8
2025-01-21,218,14060,1.55%,27.6
2025-01-22,174,13150,1.32%,26.4
2025-01-23,147,18356,0.8%,35.7
2025-01-24,196,16172,1.21%,28
2025-01-25,241,19000,1.27%,27.6
2025-01-26,279,16983,1.64%,23.9
2025-01-27,218,14854,1.47%,24.9
2025-01-28,185,14329,1.29%,24.8
2025-01-29,177,14762,1.2%,27.1
2025-01-30,182,13440,1.35%,26.8
2025-01-31,167,14244,1.17%,27.3
2025-02-01,198,20875,0.95%,30.2
2025-02-02,268,18219,1.47%,24.9
2025-02-03,214,16775,1.28%,27.4
2025-02-04,203,16181,1.25%,27.4
2025-02-05,205,17409,1.18%,28.6
2025-02-06,168,16330,1.03%,27.4
2025-02-07,205,16273,1.26%,27.7
2025-02-08,230,20668,1.11%,29
2025-02-09,315,18350,1.72%,24.8
2025-02-10,240,17494,1.37%,27.9
2025-02-11,216,16171,1.34%,27
2025-02-12,190,16238,1.17%,27
2025-02-13,160,16125,0.99%,28.2
2025-02-14,192,16156,1.19%,29.2
2025-02-15,247,22527,1.1%,29.3
2025-02-16,291,19304,1.51%,24.6
2025-02-17,259,18411,1.41%,24.9
2025-02-18,251,16275,1.54%,24.2
2025-02-19,221,17465,1.27%,26.2
2025-02-20,194,19779,0.98%,29.7
2025-02-21,205,20882,0.98%,31.4
2025-02-22,248,32156,0.77%,36.6
2025-02-23,308,21766,1.42%,26.2
2025-02-24,233,23077,1.01%,30.7
2025-02-25,243,17815,1.36%,24
2025-02-26,217,17784,1.22%,25.1
2025-02-27,240,17297,1.39%,24.8
2025-02-28,239,18780,1.27%,26.3
2025-03-01,307,25619,1.2%,27.8
2025-03-02,396,23494,1.69%,21.6
2025-03-03,329,21520,1.53%,22.3
2025-03-04,295,20771,1.42%,24.2
2025-03-05,292,19083,1.53%,23.1
2025-03-06,283,20403,1.39%,24.3
2025-03-07,272,21128,1.29%,25.1
2025-03-08,373,27736,1.34%,24.9
2025-03-09,478,25766,1.86%,19
2025-03-10,399,22355,1.78%,20.6
2025-03-11,339,21571,1.57%,22.5
2025-03-12,286,20901,1.37%,23
2025-03-13,258,21032,1.23%,24
2025-03-14,266,21296,1.25%,23.9
2025-03-15,384,27697,1.39%,24.7
2025-03-16,448,24461,1.83%,19.5
2025-03-17,401,21745,1.84%,20.7
2025-03-18,367,22417,1.64%,20.9
2025-03-19,321,25424,1.26%,24.1
2025-03-20,344,24462,1.41%,24.3
2025-03-21,347,24562,1.41%,24.8
2025-03-22,447,34527,1.29%,26.9
2025-03-23,459,32333,1.42%,25.2
2025-03-24,444,25687,1.73%,22
2025-03-25,396,22663,1.75%,19.9
2025-03-26,358,23773,1.51%,20.7
2025-03-27,396,22808,1.74%,21.2
2025-03-28,359,22798,1.57%,21.9
2025-03-29,422,31385,1.34%,24
2025-03-30,470,27359,1.72%,18.7
2025-03-31,512,27847,1.84%,19.5
2025-04-01,456,26748,1.7%,21.1
2025-04-02,417,24347,1.71%,18
2025-04-03,355,24264,1.46%,18.6
2025-04-04,383,23905,1.6%,18.1
2025-04-05,484,32171,1.5%,21
2025-04-06,580,32133,1.8%,16.2
2025-04-07,459,27149,1.69%,17.1
2025-04-08,416,27408,1.52%,18.4
2025-04-09,438,25626,1.71%,18.3
2025-04-10,395,24844,1.59%,18.1
2025-04-11,385,26438,1.46%,18.3
2025-04-12,477,35365,1.35%,21.4
2025-04-13,544,31746,1.71%,17.2
2025-04-14,479,27633,1.73%,18.3
2025-04-15,424,26310,1.61%,18.9
2025-04-16,409,23963,1.71%,17.6
2025-04-17,348,22683,1.53%,17.1
2025-04-18,468,27400,1.71%,18.4
2025-04-19,420,30098,1.4%,20.8
2025-04-20,475,29922,1.59%,19.3
2025-04-21,605,30751,1.97%,16.8
2025-04-22,408,31606,1.29%,22.5
2025-04-23,433,32419,1.34%,23.5
2025-04-24,445,28494,1.56%,19.9
2025-04-25,399,27423,1.45%,18.4
2025-04-26,469,35643,1.32%,20.6
2025-04-27,565,35265,1.6%,17
2025-04-28,464,31146,1.49%,18.3
2025-04-29,433,31472,1.38%,18.5
2025-04-30,408,29556,1.38%,17.9
2025-05-01,420,28802,1.46%,18.1
2025-05-02,381,30140,1.26%,19.5
2025-05-03,481,38710,1.24%,21.5
2025-05-04,577,35303,1.63%,17.6
2025-05-05,579,36705,1.58%,18.5
2025-05-06,424,31317,1.35%,20.4
2025-05-07,410,30587,1.34%,20.5
2025-05-08,376,29333,1.28%,21.2
2025-05-09,414,30742,1.35%,21
2025-05-10,551,39424,1.4%,22.1
2025-05-11,548,40770,1.34%,19.8
2025-05-12,492,35399,1.39%,20.4
2025-05-13,456,33213,1.37%,21.8
2025-05-14,394,34780,1.13%,21.8
2025-05-15,370,32056,1.15%,23.4
2025-05-16,374,35542,1.05%,24.9
2025-05-17,497,36572,1.36%,21.3
2025-05-18,552,37511,1.47%,18.7
2025-05-19,482,39677,1.21%,22.3
2025-05-20,421,33509,1.26%,20.3
2025-05-21,366,36442,1%,22.2
2025-05-22,375,43898,0.85%,29.3
2025-05-23,370,36929,1%,25.7
2025-05-24,484,38626,1.25%,22.9
2025-05-25,560,36779,1.52%,19.1
2025-05-26,590,37324,1.58%,19
2025-05-27,454,30224,1.5%,20.2
2025-05-28,372,31340,1.19%,21.1
2025-05-29,412,29606,1.39%,20.4
2025-05-30,371,30787,1.21%,22.7
2025-05-31,442,36920,1.2%,21.9
2025-06-01,478,37002,1.29%,20
2025-06-02,434,34311,1.26%,21.5
2025-06-03,381,30569,1.25%,21.2
2025-06-04,354,30280,1.17%,21.7
2025-06-05,295,28592,1.03%,22.4
2025-06-06,351,28250,1.24%,22.4
2025-06-07,385,37167,1.04%,23.9
2025-06-08,486,36743,1.32%,20.1
2025-06-09,413,31866,1.3%,20.9
2025-06-10,380,31600,1.2%,21.8
2025-06-11,324,32960,0.98%,21.7
2025-06-12,350,29477,1.19%,22
2025-06-13,313,28989,1.08%,22.5
2025-06-14,407,34629,1.18%,22.9
2025-06-15,412,34700,1.19%,21.5
2025-06-16,397,34770,1.14%,22.3
2025-06-17,363,31376,1.16%,21.9
2025-06-18,303,32831,0.92%,23.3
2025-06-19,282,28654,0.98%,21.2
2025-06-20,288,37690,0.76%,28.9
2025-06-21,324,35964,0.9%,24.4
2025-06-22,418,37544,1.11%,22.4
2025-06-23,329,37991,0.87%,26.7
2025-06-24,295,32240,0.92%,25
2025-06-25,285,28299,1.01%,21.9
2025-06-26,301,27597,1.09%,22.5
2025-06-27,275,27812,0.99%,23.8
2025-06-28,351,34231,1.03%,23.9
2025-06-29,399,36219,1.1%,21.5
2025-06-30,408,35599,1.15%,20.4
2025-07-01,272,29560,0.92%,23.4
2025-07-02,294,29988,0.98%,22.7
2025-07-03,304,27253,1.12%,21.5
2025-07-04,295,27185,1.09%,23.1
2025-07-05,325,34277,0.95%,24.8
2025-07-06,427,34222,1.25%,23.5
2025-07-07,329,31258,1.05%,23
2025-07-08,292,32528,0.9%,23.3
2025-07-09,300,34435,0.87%,24.4
2025-07-10,271,27371,0.99%,23
2025-07-11,226,28958,0.78%,25.6
2025-07-12,296,34084,0.87%,26.3
2025-07-13,357,33847,1.05%,22.5
2025-07-14,324,29255,1.11%,22.8
2025-07-15,293,30752,0.95%,25.1
2025-07-16,304,34738,0.88%,26.7
2025-07-17,262,30574,0.86%,26.2
2025-07-18,241,27924,0.86%,25.8
2025-07-19,268,30399,0.88%,25
2025-07-20,308,30467,1.01%,23.1
2025-07-21,320,38728,0.83%,30.5
2025-07-22,266,28747,0.93%,24.7
2025-07-23,279,26232,1.06%,22.6
2025-07-24,267,27597,0.97%,23
2025-07-25,246,27146,0.91%,23.9
2025-07-26,290,30607,0.95%,23.9
2025-07-27,331,30238,1.09%,21.8
2025-07-28,326,27854,1.17%,22.5
2025-07-29,287,26152,1.1%,21.9
2025-07-30,264,29636,0.89%,22.8
2025-07-31,268,24585,1.09%,21.8
2025-08-01,313,25969,1.21%,22.6
2025-08-02,282,32878,0.86%,23.8
2025-08-03,384,32879,1.17%,21.9
2025-08-04,284,29438,0.96%,22.4
2025-08-05,285,28464,1%,22.3
2025-08-06,282,30906,0.91%,22
2025-08-07,267,29566,0.9%,22.6
2025-08-08,225,26630,0.84%,22.2
2025-08-09,310,36284,0.85%,25.6
2025-08-10,382,33096,1.15%,20.8
2025-08-11,309,32133,0.96%,23
2025-08-12,264,28856,0.91%,23.4
2025-08-13,290,31329,0.93%,24.1
2025-08-14,275,28581,0.96%,23.6
2025-08-15,268,26932,1%,23.3
2025-08-16,292,34268,0.85%,24.6
2025-08-17,334,33164,1.01%,21.4
2025-08-18,292,30541,0.96%,22.1
2025-08-19,256,27687,0.92%,21.4
2025-08-20,247,38752,0.64%,28.6
2025-08-21,248,35073,0.71%,27.8
2025-08-22,237,29062,0.82%,25.2
2025-08-23,275,34162,0.8%,24.4
2025-08-24,323,33271,0.97%,22.2
2025-08-25,341,33485,1.02%,21.3
2025-08-26,257,36874,0.7%,29
2025-08-27,284,28588,0.99%,21.8
2025-08-28,256,27600,0.93%,23
2025-08-29,230,25820,0.89%,23.1
2025-08-30,267,33699,0.79%,25.3
2025-08-31,327,32183,1.02%,22.3
2025-09-01,310,30701,1.01%,24
2025-09-02,225,27733,0.81%,23.6
2025-09-03,203,27046,0.75%,24
2025-09-04,214,25320,0.85%,22.4
2025-09-05,223,26460,0.84%,23.1
2025-09-06,260,34725,0.75%,24.1
2025-09-07,308,33339,0.92%,22
2025-09-08,256,29689,0.86%,22.7
2025-09-09,262,28287,0.93%,22.1
2025-09-10,216,26070,0.83%,20.8
2025-09-11,228,24129,0.94%,19.5
2025-09-12,220,21229,1.04%,15.3
2025-09-13,234,24560,0.95%,14.2
2025-09-14,256,21807,1.17%,10.4
2025-09-15,223,18962,1.18%,9.5
2025-09-16,213,18984,1.12%,10.7
2025-09-17,172,24337,0.71%,16.2
2025-09-18,184,18586,0.99%,10.2
2025-09-19,189,18016,1.05%,10.5
2025-09-20,218,27179,0.8%,16.7
2025-09-21,261,26677,0.98%,13.8
2025-09-22,213,20833,1.02%,10
2025-09-23,209,20549,1.02%,10.2
2025-09-24,172,19997,0.86%,11
2025-09-25,191,19572,0.98%,11.7
2025-09-26,179,19429,0.92%,12.3
2025-09-27,209,26710,0.78%,18
2025-09-28,236,22775,1.04%,12.5
2025-09-29,219,20992,1.04%,12.4
2025-09-30,182,20212,0.9%,13.4
2025-10-01,179,19054,0.94%,13.5
2025-10-02,166,17965,0.92%,11.9
2025-10-03,166,16380,1.01%,11.2
2025-10-04,167,24810,0.67%,17.1
2025-10-05,219,21255,1.03%,11.7
2025-10-06,222,20077,1.11%,11.7
2025-10-07,187,19968,0.94%,11.7
2025-10-08,158,19503,0.81%,11.4
2025-10-09,187,18363,1.02%,11.1
2025-10-10,172,18108,0.95%,11.6
2025-10-11,215,25846,0.83%,16.9
2025-10-12,268,22994,1.17%,11.8
2025-10-13,196,20303,0.97%,10.7
2025-10-14,201,19520,1.03%,11.4
2025-10-15,175,18901,0.93%,11.6
2025-10-16,152,21862,0.7%,12.9
2025-10-17,168,26085,0.64%,18.7
2025-10-18,173,30329,0.57%,18
2025-10-19,202,24253,0.83%,11.3
2025-10-20,161,21767,0.74%,11.3
2025-10-21,162,19882,0.81%,12.4
2025-10-22,183,19379,0.94%,13.2
2025-10-23,153,20953,0.73%,13.1
2025-10-24,157,20030,0.78%,11.1
2025-10-25,183,28163,0.65%,16.8
2025-10-26,204,23536,0.87%,11.8
2025-10-27,168,22117,0.76%,10.7
2025-10-28,156,22615,0.69%,12
2025-10-29,163,22975,0.71%,11.7
2025-10-30,132,21171,0.62%,10.8
2025-10-31,113,22224,0.51%,14.9
2025-11-01,175,27084,0.65%,13.7
2025-11-02,210,27576,0.76%,10.7
2025-11-03,161,22867,0.7%,9.8
2025-11-04,174,21864,0.8%,10.9
2025-11-05,144,23097,0.62%,12.3
2025-11-06,120,20612,0.58%,10
2025-11-07,134,24053,0.56%,13.5
2025-11-08,150,27742,0.54%,14.6
2025-11-09,179,25033,0.72%,9.8
2025-11-10,148,24695,0.6%,10.1
2025-11-11,149,25310,0.59%,11.3
2025-11-12,165,24188,0.68%,11
2025-11-13,110,22681,0.48%,10.2
2025-11-14,121,29187,0.41%,15.5
2025-11-15,179,25098,0.71%,10.5
2025-11-16,186,27434,0.68%,10.7
2025-11-17,151,26170,0.58%,11.6
2025-11-18,161,25585,0.63%,13.1
2025-11-19,116,29866,0.39%,16.9
2025-11-20,123,28286,0.43%,16.5
2025-11-21,109,29216,0.37%,17.4
2025-11-22,134,24952,0.54%,14.6
2025-11-23,178,26552,0.67%,12.2
2025-11-24,138,23193,0.6%,12.1
2025-11-25,137,23115,0.59%,13.1
2025-11-26,135,24908,0.54%,13.2
2025-11-27,116,26998,0.43%,15.8
2025-11-28,128,28527,0.45%,15.8
2025-11-29,127,23629,0.54%,10.6
2025-11-30,157,27081,0.58%,12.1
2025-12-01,135,29986,0.45%,16.5
2025-12-02,128,23280,0.55%,12.1
2025-12-03,131,27713,0.47%,15.4
2025-12-04,111,27729,0.4%,14.9
2025-12-05,96,21788,0.44%,14
2025-12-06,112,22872,0.49%,11.4
2025-12-07,113,24657,0.46%,12.9
2025-12-08,126,29167,0.43%,18.6
2025-12-09,138,23710,0.58%,13.2
2025-12-10,107,25182,0.42%,12.8
2025-12-11,109,27115,0.4%,14.9
2025-12-12,114,23133,0.49%,13
2025-12-13,130,25963,0.5%,12.3
2025-12-14,151,29982,0.5%,13.3
2025-12-15,143,25317,0.56%,12.4
2025-12-16,116,33829,0.34%,17.9
2025-12-17,132,22915,0.58%,12.1
2025-12-18,124,23651,0.52%,13
2025-12-19,129,23086,0.56%,14.6
2025-12-20,110,24692,0.45%,13.6
2025-12-21,131,26251,0.5%,14
2025-12-22,117,22796,0.51%,12.1
2025-12-23,87,25026,0.35%,15.8
2025-12-24,67,28042,0.24%,20.9
2025-12-25,77,26828,0.29%,20.4
2025-12-26,149,24176,0.62%,12.6
2025-12-27,119,24838,0.48%,11.2
2025-12-28,193,30556,0.63%,12.3
2025-12-29,185,27411,0.67%,10.7
2025-12-30,198,27555,0.72%,11.1
2025-12-31,159,24152,0.66%,12.3