Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
uk,swimming,,,,,,40500,77,0.59,0.06,2810000000,Commercial,,"0.67,0.36,0.45,0.20,0.13,0.13,0.30,0.30,0.20,0.55,0.30,1.00",60,,
uk,Swimming costume,,,,,,27100,45,0.68,1.00,185000000,Informational,,"0.66,0.54,0.54,0.44,0.36,0.36,0.66,0.54,0.54,0.54,0.54,0.54",75,,
uk,Swimming goggles,,,,,,12100,37,0.56,1.00,143000000,"Informational, Transactional",,"0.54,0.54,0.54,0.44,0.44,0.29,0.44,0.66,0.44,0.54,0.54,0.44",75,,
uk,Swimming cap,,,,,,5400,26,0.43,1.00,210000000,"Informational, Transactional",,"0.36,0.44,0.54,0.54,0.54,0.19,0.44,0.44,0.54,0.54,0.36,0.36",75,,
uk,Swimming ear plugs,,,,,,4400,24,0.43,1.00,11200000,"Informational, Transactional",,"1.00,0.54,0.44,0.35,0.35,0.29,0.35,0.54,0.44,0.44,0.54,0.66",90,,
uk,Swimming headphones,,,,,,3600,52,0.27,1.00,160000000,Commercial,,"0.65,0.81,0.65,0.65,0.81,0.65,0.81,0.65,1.00,0.81,0.65,0.65",75,,
uk,Swimming dress,,,,,,1300,28,0.56,1.00,792000000,Informational,,"0.44,0.24,0.66,0.08,0.07,0.05,0.18,0.13,0.24,0.29,0.29,0.29",75,,
uk,back stroke,,,,,,1300,60,0.00,0.00,854000000,Informational,,"1.00,0.36,0.30,0.66,0.54,0.41,0.30,0.66,0.24,0.16,1.00,0.36",75,,
uk,breast stroke,,,,,,1300,59,0.00,0.00,233000000,Informational,,"0.36,0.22,0.65,0.20,0.20,0.36,0.43,0.22,0.29,0.20,0.43,0.36",75,,
uk,butterfly stroke,,,,,,1300,53,0.00,0.00,23800000,Informational,,"0.55,0.44,0.44,0.44,0.30,0.24,0.34,0.44,0.44,0.44,0.44,0.44",75,,
uk,swimming for weight loss,,,,,,1300,57,0.79,0.02,142000000,Commercial,,"0.52,0.44,0.52,0.36,0.10,0.13,0.44,0.44,0.44,0.44,0.27,0.44",90,,
uk,Swimming benefits,,,,,,1000,71,0.47,0.00,912000000,Commercial,,"0.29,0.29,0.29,0.22,0.20,0.16,0.29,0.29,0.22,0.29,0.22,0.22",75,,
uk,Swimming equipment,,,,,,880,28,0.44,0.98,627000000,Informational,,"0.45,0.36,0.45,0.62,1.00,0.45,0.45,0.55,0.45,0.45,0.45,0.36",75,,
uk,Swimming front crawl,,,,,,880,50,0.00,0.00,16500000,Informational,,"0.55,0.55,0.55,0.76,0.45,0.45,0.76,0.67,0.55,0.36,1.00,0.55",90,,
uk,Swimming after tattoo,,,,,,720,42,0.00,0.00,193000000,Informational,,"1.00,0.76,0.67,0.55,0.36,0.24,0.45,0.55,0.55,0.55,0.67,0.67",90,,
uk,Swimming hand paddles,,,,,,720,11,0.32,1.00,6200000,"Informational, Transactional",,"0.81,1.00,0.81,0.36,0.81,0.81,0.67,1.00,0.67,0.44,0.81,0.67",90,,
uk,Swimming after ear piercing,,,,,,590,25,0.00,0.00,6660000,Informational,,"1.00,0.52,0.16,0.13,0.13,0.13,0.20,0.20,0.20,0.25,0.25,0.31",90,,
uk,swimming on your period,,,,,,590,59,0.42,0.70,314000000,Informational,,"0.76,0.76,0.55,0.36,0.30,0.16,0.45,0.45,0.45,0.55,0.55,0.55",90,,
uk,Best pools in London,,,,,,480,33,0.84,0.07,84900000,Commercial,,"0.29,0.81,0.36,0.66,0.36,0.44,1.00,1.00,0.66,1.00,0.81,1.00",90,,
uk,Swimming clothes,,,,,,480,34,0.89,0.97,319000000,Informational,,"0.72,0.39,0.48,0.39,0.39,0.39,0.39,0.39,0.32,0.48,0.48,0.48",75,,
uk,Swimming kit,,,,,,480,18,0.37,1.00,227000000,Informational,,"0.44,0.54,1.00,0.66,0.54,0.44,0.81,0.66,0.66,0.66,0.66,0.66",75,,
uk,swimming for fitness,,,,,,390,58,0.52,0.06,577000000,"Informational, Commercial",,"0.23,0.66,0.54,0.54,0.54,0.29,0.54,0.44,0.44,0.54,0.44,0.66",90,,
uk,How to improve speed,,,,,,320,51,0.00,0.00,847000000,Informational,,"0.35,0.54,0.66,0.81,0.54,0.44,0.81,0.54,0.44,0.35,0.35,0.35",90,,
uk,Swimming Quotes,,,,,,320,13,0.00,0.00,169000000,Informational,,"0.54,0.54,0.54,0.44,0.44,0.44,0.36,0.36,0.44,0.36,0.44,0.44",75,,
uk,Types of Swimming Strokes,,,,,,320,22,0.00,0.00,323000000,Informational,,"0.16,0.16,0.10,0.10,0.06,0.05,0.13,0.20,0.20,1.00,0.20,0.13",90,,
uk,Swimming drills,,,,,,260,31,0.20,0.23,18100000,Informational,,"0.66,0.66,0.82,0.66,0.66,0.53,1.00,0.82,0.82,0.82,0.66,0.53",75,,
uk,How to float,,,,,,210,53,0.00,0.00,1930000000,Informational,,"1.00,0.81,0.65,0.53,0.43,0.34,0.53,0.53,0.43,0.53,0.65,0.65",90,,
uk,Swimming diving,,,,,,110,35,0.00,0.05,422000000,Informational,,"0.53,0.28,0.53,0.53,0.43,0.21,0.65,0.06,0.06,0.06,0.21,0.28",75,,
uk,Swimming nose plugs,,,,,,110,9,0.33,1.00,28400000,Informational,,"0.65,0.53,0.53,0.34,0.26,0.15,0.42,0.53,0.42,0.42,0.42,0.53",90,,
uk,history of swimming,,,,,,110,45,0.00,0.00,1710000000,Informational,,"0.52,0.41,0.64,0.64,0.82,0.41,0.52,0.41,0.52,0.41,0.64,1.00",90,,
uk,swimming drills for beginners,,,,,,90,12,0.29,0.05,16700000,Informational,,"0.64,0.50,0.64,0.64,0.50,0.35,0.78,0.64,0.64,0.78,0.78,0.64",90,,
uk,Best pools in Dubai,,,,,,70,22,0.59,0.09,29500000,Commercial,,"0.09,0.33,0.42,0.42,0.23,0.33,0.42,0.33,0.33,0.33,0.33,0.23",90,,
uk,Swimming equipment for kids,,,,,,70,,0.00,0.00,,,,"0.41,0.64,0.52,0.29,0.41,0.23,0.41,0.52,0.29,0.52,0.41,0.52",,,
uk,Swimming gadgets,,,,,,70,,0.40,1.00,,,,"0.33,0.33,0.23,0.33,0.66,0.80,0.23,0.23,0.33,0.23,0.23,0.23",,,
uk,history of swimming as a sport,,,,,,50,,0.00,0.00,,,,"0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.50,0.50,0.64,1.00,1.00",,,
uk,swimming head band,,,,,,40,,0.21,1.00,,,,"0.17,0.41,0.23,0.00,0.11,0.00,0.00,0.41,0.29,0.29,0.41,0.41",,,
uk,How to do a flip turn,,,,,,20,,0.00,0.01,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,,
uk,How to stay safe at the beach,,,,,,20,,0.00,0.01,,,,"0.14,0.14,0.14,0.14,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.28",,,
uk,history of swimming costumes,,,,,,20,,0.00,0.02,,,,"0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66",,,
uk,swimming drills for endurance,,,,,,20,,0.00,0.05,,,,"0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",,,
uk,swimming drills for fitness,,,,,,20,,0.00,0.24,,,,"0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07",,,
uk,swimming drills for front crawl,,,,,,10,,0.00,0.01,,,,"0.75,0.50,0.75,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00",,,
uk,Best outdoor swimming in London,,,,,,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
uk,Learning the breaststroke,,,,,,0,,0.00,0.02,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
uk,Stay safe in water,,,,,,0,,0.00,0.00,,,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
uk,swimming drills for backstroke,,,,,,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
uk,swimming drills for breaststroke,,,,,,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
uk,swimming drills for breathing,,,,,,0,,0.00,0.11,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
uk,swimming drills for freestyle,,,,,,0,,0.00,0.02,,,,"0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00",,,
uk,swimming drills for kids,,,,,,0,,0.00,0.00,,,,"0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00",,,
uk,swimming drills for triathletes,,,,,,0,,0.00,0.09,,,,"0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00",,,
uk,Learning the freestyle swim,,,,,,,,,,,,,,,,
uk,Learning the backstroke,,,,,,,,,,,,,,,,
uk,Learning the butterfly,,,,,,,,,,,,,,,,
uk,Learning the elementary backstroke,,,,,,,,,,,,,,,,
uk,Learning the sidestroke,,,,,,,,,,,,,,,,
uk,Learning the Trudgen Technique,,,,,,,,,,,,,,,,
uk,The Best swimming stroke,,,,,,,,,,,,,,,,
uk,the best swimming stroke to build muscle,,,,,,,,,,,,,,,,
uk,Swimming accessories - what do you need?,,,,,,,,,,,,,,,,
uk,Swimming aids - are they necessery?,,,,,,,,,,,,,,,,
uk,Best outdoor swimming in Dubai,,,,,,,,,,,,,,,,
uk,Best outdoor swimming in Edinburgh,,,,,,,,,,,,,,,,
uk,Best pools in Edinburgh,,,,,,,,,,,,,,,,
uk,Tips for natural swimming,,,,,,,,,,,,,,,,
uk,How to stay safe in the pool,,,,,,,,,,,,,,,,
uk,How to stay safe in natural water,,,,,,,,,,,,,,,,
