I,slug,views,revenue,rpm,cpm,viewability,fillRate,impressionsPerPageview
255,/article/do-the-forgers-find-out-about-each-other-in-spy-x-family,664,4.39,6.61,0.73,0.65,0.87,8.95
256,/article/star-wars-rogue-squadron-development-update,659,22.51,34.16,1.38,0.61,0.87,24.67
257,/article/venom-3-official-title-new-release-date,650,14.14,21.76,1.58,0.61,0.9,13.69
258,/article/the-acolyte-showrunner-shorter-episode-runtimes/,639,7.27,11.38,1.55,0.56,0.97,7.3
259,/article/is-emma-samanda-good-evil-ninja-kamui,637,1.95,3.06,0.74,0.69,0.55,4.08
260,/article/bob-marley-delaware-house,632,6.67,10.55,0.91,0.74,0.99,11.55
261,/article/the-mandalorian-and-grogu-filming-location,617,7.2,11.67,1.52,0.66,0.97,7.66
262,/article/is-miraculous-ladybug-season-5-coming-to-netflix,601,6.05,10.07,1.3,0.59,0.94,7.72
263,/article/black-widow-ray-winstone-mcu-soul-destroying/,572,5.07,8.87,1.19,0.68,0.96,7.41
264,/article/is-the-man-who-saved-me-on-my-isekai-trip-manga-over,569,1.42,2.5,0.65,0.59,0.61,3.81
265,/article/cz-guest-diego-rivera-painting,553,9.76,17.65,1.29,0.74,0.98,13.61
266,/article/best-bl-anime-on-hulu,552,9.81,17.78,1.2,0.59,0.98,14.81
267,/article/rogue-x-men-97-age,551,25.79,46.8,1.64,0.67,0.87,28.41
268,/article/where-to-watch-and-stream-100-season-2-free-online,550,1.14,2.07,1.0,0.44,0.79,2.06
269,/article/daisy-ridley-filming-update-star-wars-new-jedi-order-movie/,540,4.94,9.15,1.14,0.6,0.97,8.01
270,/article/x-men-97-showrunner-fired-marvel-studios,537,11.53,21.47,1.71,0.64,0.94,12.49
271,/article/wcdonalds-locations-us,537,9.33,17.37,1.56,0.55,0.99,11.1
272,/article/rick-prosthetic-hand-replacement,535,8.14,15.22,1.37,0.74,0.88,11.11
273,/article/dakota-johnson-madame-web-negative-reception,533,10.55,19.79,1.66,0.66,0.97,11.91
274,/article/fans-air-disapproval-for-star-wars-the-acolyte-trailer,520,18.13,34.87,1.55,0.7,0.9,22.41
275,/article/brothers-sun-john-cho-house,509,11.58,22.76,1.57,0.68,0.92,14.47
276,/article/gushing-over-magical-girls-season-2-release-date-news-predictions,506,3.3,6.53,1.32,0.63,0.75,4.94
277,/article/pedro-pascal-breaks-silence-fantastic-four-mcu-reboot,494,4.87,9.86,1.38,0.62,0.96,7.12
278,/article/do-pairin-and-lihaku-end-up-together-apothecary-diaries,492,2.16,4.39,0.93,0.67,0.58,4.67
279,/article/apothecary-diaries-jinshi-hairpin-meaning,483,8.82,18.28,1.49,0.65,0.85,12.22
280,/article/classroom-of-the-elite-season-3-chapters,481,1.83,3.81,1.21,0.61,0.59,3.14
281,/article/is-miranda-also-sofia-tsukimichi-identity-backstory-explained,477,3.36,7.05,1.34,0.6,0.77,5.25
282,/article/finn-wolfhard-draws-flak-mcu-remark,474,12.94,27.31,1.53,0.68,0.87,17.77
283,/article/how-strong-is-joe-higan-ninja-kamui,474,2.5,5.29,0.97,0.68,0.74,5.42
284,/article/superman-dcu-movie-set-photo-fortress-of-solitude,469,5.81,12.4,1.44,0.54,0.92,8.56
285,/article/lynda-carter-wonder-woman-3-happen-one-condition,468,8.52,18.22,1.51,0.66,0.88,11.99
286,/article/daredevil-born-again-set-photo-jon-bernthal-return,467,13.89,29.74,1.36,0.68,0.87,21.71
287,/article/fans-complain-once-more-about-the-onscreen-adaptation-of-halo,465,6.88,14.81,1.63,0.69,0.96,9.04
288,/article/tom-hollands-spider-man-will-let-peter-parker-fade-away,464,8.87,19.12,1.66,0.61,0.94,11.51
289,/article/who-are-ishura-champions-so-far,464,1.34,2.9,0.61,0.64,0.46,4.71
290,/article/daisy-ridley-filming-update-star-wars-new-jedi-order-movie,461,10.0,21.7,1.51,0.6,0.91,14.36
291,/article/what-is-acute-subdural-hematoma-akira-toriyama-cause-of-death,456,4.5,9.88,1.09,0.68,0.86,9.03
292,/article/apothecary-diaries-season-2-predictions-release-date-news,454,3.45,7.61,1.23,0.65,0.76,6.15
293,/article/call-of-the-night-manga-ending-explained,453,3.47,7.66,1.06,0.71,0.76,7.2
294,/article/sydney-sweeney-pokes-fun-madame-web-snl,446,6.33,14.2,1.53,0.62,0.97,9.24
295,/article/star-wars-return-skywalker-saga-films-theaters/,441,6.03,13.69,1.71,0.58,0.98,7.99
296,/article/how-strong-is-serie-frieren-powers-abilities-explained,435,1.83,4.22,0.77,0.73,0.62,5.44
297,/article/captain-ludvig-kahlen-real-person,429,4.35,10.15,1.0,0.74,0.82,10.07
298,/article/is-rwby-cancelled-rooster-teeth-shutting-down,429,5.78,13.48,1.51,0.68,0.94,8.92
299,/article/robert-downey-jr-oscar-win-oppenheimer/,423,2.69,6.37,1.21,0.47,0.95,5.25
300,/article/how-crm-turn-into-walkers,423,6.95,16.43,1.38,0.73,0.87,11.86
301,/article/dragon-ball-z-netflix-2025-live-action-tiktok-debunked,420,2.69,6.41,1.15,0.58,0.78,5.53
302,/article/delicious-in-dungeon-manga-ending-explained,418,4.16,9.95,1.19,0.72,0.77,8.31
303,/article/did-the-swans-attend-truman-capotes-funeral-explained,416,3.61,8.68,0.82,0.74,0.98,10.48
304,/article/does-higan-have-powers-ninja-kamui-what-we-know-so-far,412,2.82,6.86,0.95,0.71,0.81,7.19
305,/article/marvel-reportedly-plans-more-90s-animated-shows-revival/,410,4.78,11.66,1.62,0.6,0.95,7.17
306,/article/what-happened-to-preston-on-sistas,404,15.75,38.99,2.37,0.73,0.99,16.41
307,/article/where-start-classroom-of-the-elite-light-novel-after-anime,403,1.4,3.47,0.85,0.63,0.58,4.04
308,/article/crm-gas-the-ones-who-live,403,5.3,13.15,0.9,0.71,0.88,14.52
309,/article/do-frieren-and-fern-pass-mage-exam,399,2.22,5.56,1.01,0.65,0.59,5.49
310,/article/when-is-poor-things-set,398,6.54,16.43,1.38,0.7,0.96,11.85
311,/article/black-widow-ray-winstone-mcu-soul-destroying,394,5.87,14.92,1.58,0.72,0.96,9.4
312,/article/ragna-crimson-season-2-release-date-news-predictions,391,0.75,1.92,0.74,0.66,0.49,2.59
313,/article/dave-bautista-surprising-condition-mcu-return/,381,3.95,10.38,1.4,0.65,0.96,7.39
314,/article/james-gunn-tom-cavanagh-reverse-flash-dcu-fancast/,379,5.69,15.02,1.74,0.58,0.97,8.59
315,/article/best-bl-anime-to-watch,379,4.31,11.37,0.82,0.57,0.68,13.74
316,/article/dax-rey-parish,369,4.37,11.86,1.24,0.73,0.84,9.52
317,/article/does-fuyuki-study-abroad-hokkaido-gals-are-adorable,368,4.42,12.02,1.5,0.68,0.74,7.99
318,/article/james-gunn-debunks-the-batman-part-ii-casting-rumor,367,6.18,16.84,1.26,0.67,0.84,13.32
319,/article/what-happened-to-jet-avatar,366,4.88,13.34,1.31,0.75,0.92,10.14
320,/article/guideau-ashaf-relationship-witch-and-the-beast,365,2.83,7.75,1.25,0.65,0.74,6.19
321,/article/sydney-sweeney-pokes-fun-madame-web-snl/,364,3.27,9.0,1.21,0.61,0.98,7.4
322,/article/three-body-problem-aliens,359,11.27,31.39,1.29,0.63,0.83,24.15
323,/article/who-was-truman-capotes-mother-lillie-mae-faulk-what-to-know-about-his-parents,355,7.22,20.36,1.38,0.77,0.98,14.74
324,/article/where-to-start-reading-shangri-la-frontier-after-anime,353,2.44,6.93,0.9,0.41,0.58,7.7
325,/article/griselda-blanco-house-miami,352,3.1,8.81,0.75,0.71,0.97,11.69
326,/article/dakota-johnson-madame-web-negative-reception/,352,4.25,12.07,1.2,0.61,0.95,10.04
327,/article/deadpool-and-wolverine-emma-corrin-role/,345,2.56,7.43,1.16,0.62,0.95,6.38
328,/article/disney-ceo-bob-iger-marvel-fatigue-concerns/,332,2.43,7.34,0.98,0.65,0.97,7.42
329,/article/death-of-macht-frieren-explained,329,2.33,7.08,0.94,0.73,0.59,7.48
330,/article/paul-rudd-disappointing-update-mcu-return/,327,2.95,9.02,1.53,0.54,0.97,5.88
331,/article/where-to-start-reading-a-sign-of-affection-after-anime,322,1.83,5.68,1.09,0.56,0.75,5.17
332,/article/ripley-netflix-timeline,319,3.78,11.85,1.13,0.73,0.85,10.42
333,/article/hayden-christensen-apologized-to-youngling-actor/,318,4.4,13.84,1.36,0.7,0.98,10.15
334,/article/is-the-dangers-in-my-heart-manga-finished-status-explained,315,1.29,4.09,1.01,0.65,0.55,4.04
335,/article/is-a-sign-of-affection-manga-ending,312,2.08,6.67,1.18,0.62,0.75,5.64
336,/article/the-acolyte-trailer-release-star-wars-record/,298,2.27,7.64,1.26,0.59,0.95,6.04
337,/article/ninja-kamui-cast-voice-actors-where-you-heard-them-before,297,2.11,7.11,1.33,0.56,0.76,5.34
338,/article/maomao-mother-apothecary-diaries-fengxian,293,5.34,18.25,1.18,0.66,0.8,15.36
339,/article/sebastian-amoruso-avatar-netflix,293,6.13,20.94,1.9,0.66,0.93,11.0
340,/article/david-niven-oscar-streaker,293,11.53,39.37,0.99,0.63,0.84,39.62
341,/article/where-to-watch-and-stream-aew-revolution-free-online,291,3.06,10.54,2.72,0.46,0.98,3.86
342,/article/shazam-jack-dylan-grazer-potential-third-movie,289,8.72,30.19,1.32,0.69,0.85,22.81
343,/article/dune-part-2-loud-volume-level-fans-reeling,287,7.31,25.47,1.34,0.63,0.89,19.0
344,/article/the-mandalorian-brendan-wayne-disappointing-season-4-update/,286,2.94,10.29,1.34,0.57,0.97,7.65
345,/article/dr-mallard-ncis-last-episode,280,5.77,20.62,1.65,0.73,0.94,12.48
346,/article/aryan-simhadri-avatar-live-action,280,5.11,18.25,1.88,0.67,0.94,9.68
347,/article/tsukimichi-moonlit-fantasy-characters-ranked,276,1.87,6.79,0.82,0.62,0.56,8.23
348,/article/chilean-star-wars-broadcast-goes-viral,269,4.68,17.4,1.54,0.61,0.96,11.28
349,/article/hayden-christensen-apologized-to-youngling-actor,269,4.82,17.94,1.59,0.63,0.91,11.27
350,/article/marvel-reportedly-plans-more-90s-animated-shows-revival,267,7.72,28.91,1.47,0.58,0.84,19.6
351,/article/the-most-disturbing-moments-in-made-in-abyss-ranked,262,2.69,10.28,0.71,0.71,0.72,14.48
352,/article/is-the-newborn-baby-evil-immaculate-movie,262,12.44,47.48,1.3,0.69,0.85,36.51
353,/article/episode-nagi-manga-release-schedule,258,0.51,1.99,0.77,0.41,0.64,2.58
354,/article/why-did-serie-fail-frieren,258,2.58,10.02,1.21,0.7,0.71,8.22
355,/article/crunchyroll-spring-2024-lineup-anime-announced,254,6.22,24.51,1.65,0.72,0.97,14.79
356,/article/grant-morrison-zack-snyder-controversial-batman-take/,254,2.28,9.0,1.11,0.69,0.95,8.08
357,/article/who-is-shawn-hamilton-ninja-kamui-mike-moriss,253,3.26,12.91,1.51,0.61,0.99,8.51
358,/article/will-there-be-the-wrong-way-to-use-healing-magic-season-2-release-date-news-predictions,253,1.48,5.87,1.18,0.6,0.71,4.94
359,/article/finn-wolfhard-draws-flak-mcu-remark/,253,2.75,10.87,1.37,0.65,0.94,7.89
360,/article/is-there-post-credit-scene-dune-part-2,252,1.48,5.89,1.12,0.35,0.91,5.25
361,/article/ludwig-gransson-serena-mckinney,252,3.14,12.47,1.09,0.66,0.99,11.33
362,/article/daredevil-born-again-set-photo-jon-bernthal-return/,249,1.25,5.04,0.98,0.56,0.87,5.14
363,/article/doctor-elise-web-novel-ending-explained,248,2.87,11.61,1.37,0.71,0.81,8.47
364,/article/constellation-apple-tv-cloverfield-paradox,246,5.15,20.94,1.81,0.7,0.91,11.55
365,/article/billy-dee-williams-donald-glover-taking-over-lando-calrissian/,242,3.51,14.51,1.52,0.62,0.97,9.52
366,/article/where-to-start-reading-7th-time-loop-after-anime,240,1.62,6.78,1.08,0.65,0.71,6.27
367,/article/baby-face-masters-of-the-air,238,1.98,8.34,0.85,0.7,0.95,9.78
368,/article/star-wars-clone-wars-watch-guide,234,8.46,36.16,1.23,0.61,0.88,29.36
369,/article/is-spencer-coming-back-to-gh,228,2.52,11.06,1.07,0.73,0.99,10.24
370,/article/where-to-watch-and-stream-anyone-but-you-free-online,227,1.22,5.4,1.85,0.48,0.9,2.9
371,/article/who-is-joaquim-de-almeida-from-shogun-father-domingo-role-is-his-big-break,225,2.31,10.29,1.25,0.55,0.87,8.22
372,/article/captain-america-brave-new-world-the-leader-comic-accurate/,222,1.71,7.7,1.29,0.55,0.96,5.96
373,/article/the-mandalorian-season-3-lack-din-djarin-bo-katan-romance/,221,2.24,10.14,1.3,0.59,0.94,7.78
374,/article/argylle-does-alfie-the-cat-die,216,2.21,10.25,1.19,0.66,0.94,8.56
375,/article/who-is-code-8s-sirena-gulamgaus-age-and-career-explored,214,0.91,4.29,0.81,0.58,0.85,5.28
376,/article/what-is-makoto-mana-matter-tsukimichi,211,1.43,6.8,1.31,0.66,0.72,5.16
377,/article/is-bucchigiri-bl-anime,209,1.67,8.01,1.21,0.6,0.76,6.61
378,/article/iman-vellani-mcu-return-future-projects/,207,1.63,7.9,1.34,0.57,0.96,5.88
379,/article/hayden-christensen-takes-over-empire-state-building-star-wars-celebration/,206,2.34,11.36,1.69,0.54,0.92,6.72
380,/article/venom-3-google-listing-norman-reedus-as-aunt-may/,204,1.86,9.11,1.28,0.57,0.96,7.11
381,/article/grant-gustin-return-the-flash-condition/,202,1.95,9.66,1.6,0.61,0.97,6.03
382,/article/star-wars-daisy-ridley-movie-rumored-title-debunked/,200,1.36,6.82,1.1,0.56,0.97,6.18
383,/article/ryu-jun-yeol-net-worth-how-did-the-alien-star-earn-his-millions,192,0.82,4.28,0.76,0.68,0.58,5.56
384,/article/kevin-conroy-mark-hamill-reunite-final-dc-project/,190,1.82,9.6,1.34,0.65,0.97,7.13
385,/article/is-my-happy-marriage-ova-on-crunchyroll-where-to-watch,189,4.45,23.57,1.01,0.42,0.58,23.19
386,/article/dragon-ball-z-live-action-rumors-predictions,189,2.61,13.82,1.39,0.5,0.96,9.89
387,/article/star-wars-the-acolyte-reveals-release-date,187,20.58,110.09,1.3,0.65,0.83,84.34
388,/article/nova-mcu-project-development-marvel-studios/,186,1.61,8.66,1.24,0.59,0.97,6.94
389,/article/who-will-rentt-faina-end-up-with-unwanted-undead-adventurer,185,0.85,4.6,0.9,0.52,0.63,5.08
390,/article/does-the-dragon-turn-good-damsel,184,12.7,69.03,1.19,0.6,0.85,57.88
391,/article/best-isekai-anime-crunchyroll,181,6.64,36.7,0.8,0.33,0.52,45.72
392,/article/kung-fu-panda-4-spoilers-explained,181,2.57,14.23,1.23,0.6,0.84,11.55
393,/article/best-korean-anime-to-watch,181,2.12,11.71,1.06,0.46,0.63,11.04
394,/article/is-rexs-death-for-real-in-invincible-season-2-episode-5-what-happened-explained,180,8.54,47.49,1.09,0.58,0.75,43.36
395,/article/lycoris-recoil-season-2-release-date-trailer-everything-we-know-so-far,179,1.43,8.03,1.29,0.66,0.82,6.2
396,/article/cherry-magic-anime-season-2-release-date-news-predictions,179,1.27,7.13,1.12,0.63,0.82,6.36
397,/article/vinnie-jones-rejected-deadpool-and-wolverine-cameo/,176,1.2,6.84,1.15,0.57,0.95,5.9
398,/article/bill-paley-slim-keith-affair,175,3.98,22.74,1.45,0.76,0.99,15.58
399,/article/andor-season-2-release-date-teased-stellan-skarsgard,174,2.84,16.36,1.9,0.64,0.97,8.58
400,/article/disney-ceo-bob-iger-marvel-fatigue-concerns,174,6.53,37.58,1.42,0.65,0.89,26.35
401,/article/tokyo-revengers-season-3-english-dub-release-date,168,2.62,15.61,1.72,0.61,0.95,9.07
402,/article/macon-masters-of-the-air,164,13.13,80.11,1.07,0.66,0.83,74.67
403,/article/hugh-jackman-response-channing-tatum-comment-deadpool-3-rumor/,164,1.98,12.08,1.63,0.57,0.96,7.37
404,/article/did-truman-capote-visit-babe-paley-grave,163,2.55,15.67,0.86,0.73,0.91,18.19
405,/article/rings-of-power-gets-budget-slashed-for-season-3/,162,1.6,9.93,1.44,0.59,0.94,6.86
406,/article/why-is-cassie-in-a-wheelchair-madame-web,162,1.53,9.46,0.96,0.75,0.86,9.85
407,/article/obi-wan-kenobi-star-hayden-christensen-says-his-darth-vader-return-was-definitely-a-surprise,160,1.76,11.0,1.62,0.5,0.99,6.78
408,/article/liam-neeson-shoots-down-star-wars-return/,159,1.35,8.54,1.23,0.6,0.94,6.92
409,/article/deadpool-and-wolverine-emma-corrin-role,158,1.1,6.99,0.81,0.63,0.98,8.55
410,/article/tales-of-wedding-rings-uncensored-version-crunchyroll,157,0.68,4.33,1.06,0.61,0.69,4.07
411,/article/kirsten-dunst-miserable-filming-spider-man-kiss-scene/,155,2.01,13.0,1.66,0.53,0.94,7.81
412,/article/meet-vedetta-lim-from-the-3-body-problem-who-plays-vera-ye,152,1.16,7.67,1.05,0.63,0.82,7.26
413,/article/authentique-marry-my-husband,152,1.39,9.15,1.06,0.7,0.87,8.61
414,/article/grant-gustin-return-the-flash-condition,151,0.88,5.85,0.85,0.57,0.97,6.83
415,/article/who-gave-ayanokoji-chocolate-classroom-of-the-elite,150,1.29,8.65,1.27,0.64,0.74,6.79
416,/article/ready-player-one-sequel-has-a-confirmed-producer,148,2.98,20.14,1.32,0.59,0.85,15.22
417,/article/frieren-manga-status,147,0.76,5.17,0.97,0.61,0.67,5.29
418,/article/superman-dcu-movie-set-photo-fortress-of-solitude/,144,0.61,4.24,0.83,0.51,0.97,5.05
419,/article/is-pearl-in-love-with-rick,143,2.52,17.66,1.15,0.7,0.86,15.25
420,/article/blue-lock-episode-nagi-post-credits-scene,143,4.75,33.27,1.16,0.46,0.67,28.57
421,/article/who-is-marito-bucchigiri,142,1.05,7.46,1.11,0.65,0.83,6.71
422,/article/alien-romulus-trailer-may-drop-anytime-this-month,142,0.87,6.15,0.97,0.67,0.9,6.28
423,/article/did-jango-fett-know-abou-omega-bad-batch-season-3-theories-explored/,135,1.91,14.16,1.36,0.71,0.96,10.4
424,/article/is-nihilo-the-vortical-stampede-dead-in-ishura,135,0.56,4.16,0.86,0.6,0.53,4.81
425,/article/what-happened-to-lilas-wedding-dress-on-general-hospital-how-did-brook-lynn-get-it,134,32.09,239.5,1.26,0.63,0.83,188.91
426,/article/rogue-x-men-97-age/,134,2.65,19.83,2.17,0.69,0.96,9.12
427,/article/mysterious-disappearances-anime-release-date-news,134,5.95,44.4,0.86,0.39,0.65,51.46
428,/article/truman-capote-new-swan,131,10.33,78.86,1.05,0.72,0.87,75.08
429,/article/chainsaw-man-does-denji-ever-have-sex,131,0.59,4.55,0.5,0.73,0.6,9.07
430,/article/the-witch-and-the-beast-characters-ranked-based-on-abilities,130,1.52,11.71,0.83,0.51,0.59,14.03
431,/article/james-gunn-debunks-the-batman-part-ii-casting-rumor/,130,0.76,5.9,1.14,0.48,0.92,5.15
432,/article/does-falin-become-human-again-delicious-in-dungeon,127,1.59,12.55,1.22,0.59,0.77,10.22
433,/article/who-tried-to-kill-jinshi-apothecary-diaries,126,1.18,9.43,1.02,0.72,0.85,9.23
434,/article/new-superman-dcu-movie-title-james-gunn/,126,1.16,9.21,1.38,0.56,0.96,6.67
435,/article/who-voices-tomoe-tsukimichi-english-dub,122,1.64,13.48,1.51,0.58,0.98,8.91
436,/article/babe-paley-funeral,120,1.84,15.39,1.16,0.76,0.99,13.24
437,/article/michael-keaton-morbius-post-credits-scene,120,2.78,23.23,1.38,0.64,0.87,16.83
438,/article/will-there-be-fluffy-paradise-season-2-release-date-news-predictions,120,1.31,10.94,1.52,0.64,0.85,7.2
439,/article/invincible-season-2-part-2-how-many-episodes-will-there-be/,117,2.22,18.98,1.95,0.66,0.97,9.7
440,/article/is-star-wars-chile-beer-ads-cut-real-viral-post,116,3.55,30.61,1.13,0.64,0.89,27.01
441,/article/what-happened-to-toranagas-sword-shogun,116,14.05,121.19,1.12,0.64,0.78,107.88
442,/article/the-acolyte-showrunner-shorter-episode-runtimes,116,9.72,83.84,1.59,0.61,0.86,52.62
443,/article/where-to-start-reading-frieren-after-anime,115,3.17,27.64,1.03,0.49,0.69,26.69
444,/article/marvel-reported-release-window-doctor-strange-3,113,1.3,11.58,1.8,0.55,0.99,6.4
445,/article/how-does-resurrection-magic-work-in-delicious-in-dungeon-how-death-works-explained,112,4.17,37.26,0.83,0.55,0.65,44.62
446,/article/robert-downey-jr-oscar-win-oppenheimer,111,2.87,25.89,1.33,0.58,0.83,19.33
447,/article/the-acolyte-season-2-reportedly-development/,111,0.9,8.19,1.29,0.57,0.96,6.34
448,/article/why-is-kong-wearing-a-glove/,110,2.33,21.24,1.87,0.73,0.94,11.34
449,/article/house-of-the-dragon-season-2-release-month,110,1.88,17.12,1.27,0.57,0.83,13.44
450,/article/x-men-97-updates-opening-credits-original-show/,109,1.11,10.24,1.5,0.61,0.93,6.82
451,/article/solo-leveling-season-2-confirmed-release-date-news-predictions,108,0.48,4.47,1.35,0.6,0.54,3.29
452,/article/orms-father-in-aquaman-explained,107,1.61,15.04,1.33,0.68,0.95,11.27
453,/article/pirates-of-the-caribbean-producer-next-movie-reboot/,106,1.06,10.09,1.48,0.59,0.97,6.78
454,/article/is-miranda-stronger-than-makoto-tsukimichi,104,0.43,4.15,0.84,0.68,0.61,4.88
455,/article/why-mariko-knows-english-shogun,103,8.42,81.81,1.27,0.59,0.79,63.98
456,/article/nova-mcu-project-development-marvel-studios,103,8.75,84.99,1.3,0.66,0.85,65.16
457,/article/new-jedi-order-film-reportedly-wont-be-a-trilogy/,103,1.13,10.98,1.35,0.61,0.96,8.08
458,/article/the-bad-batch-s3-void-striders-explained,103,13.59,132.01,1.18,0.62,0.85,111.83
459,/article/does-gambit-know-about-magneto-and-rogues-romance,102,1.18,11.64,1.25,0.68,0.84,9.31
460,/article/gushing-over-magical-girls-characters-age-explained,102,1.03,10.13,1.28,0.64,0.91,7.91
461,/article/did-gore-vidal-forgive-truman-capote-fxs-feud-explores-what-happened,100,0.81,8.1,0.82,0.74,0.96,9.83
462,/article/spider-man-movies-back-in-theaters-release-dates/,98,1.54,15.77,1.83,0.57,0.95,8.62
463,/article/the-spider-within-a-spider-verse-story-first-trailer,98,5.41,55.28,1.51,0.63,0.85,36.51
464,/article/jon-bernthal-punisher-return-cryptic-post,97,1.44,14.89,1.23,0.6,0.85,12.04
465,/article/leave-the-world-behind-pamphlet,96,1.77,18.45,1.46,0.73,0.97,12.59
466,/article/what-happened-to-solitar-frieren,95,3.2,33.69,0.83,0.36,0.63,40.3
467,/article/hayden-christensen-takes-over-empire-state-building-star-wars-celebration,94,25.5,271.29,1.69,0.64,0.86,159.92
468,/article/the-mandalorian-creator-finally-reveals-truth-behind-grogus-species,93,0.85,9.2,1.92,0.45,0.95,4.77
469,/article/ishura-who-dies-who-survives,93,0.3,3.27,0.64,0.72,0.59,5.05
470,/article/what-is-operation-dragoon-masters-of-the-air,93,29.82,320.74,1.19,0.63,0.83,268.84
471,/article/x-men-97-nabs-perfect-rotten-tomatoes-score,92,19.93,216.63,1.55,0.65,0.88,139.11
472,/article/fallout-tv-series-action-packed-trailer/,91,1.47,16.25,1.41,0.71,0.96,11.47
473,/article/what-happened-to-matakara-brother-bucchigiri,89,0.45,5.07,0.85,0.7,0.69,5.96
474,/article/who-ends-up-together-a-sign-of-affection-predictions,89,1.41,15.89,0.89,0.35,0.63,17.73
475,/article/monsterverse-movies-in-order/,87,0.87,10.07,1.1,0.6,0.89,9.1
476,/article/superman-dcu-movie-wendell-pierce-perry-white/,86,0.34,3.96,0.99,0.44,0.97,4.0
477,/article/kerry-oshea-capote,84,1.84,21.96,1.46,0.68,0.99,15.03
478,/article/leonardo-dicaprio-star-wars-audition-revealed/,84,0.85,10.21,1.38,0.59,0.96,7.35
479,/article/jean-grey-cerebro-x-men-97/,84,1.25,14.9,1.5,0.72,0.95,9.89
480,/article/fallout-tv-series-action-packed-trailer,82,11.28,137.66,1.18,0.68,0.85,115.71
481,/article/dev-patel-flexes-his-acting-and-directing-chops-with-monkey-man,82,2.91,35.56,1.22,0.6,0.81,28.97
482,/article/road-house-2024-parents-guide/,82,1.16,14.23,1.35,0.73,0.94,10.5
483,/article/what-to-watch-before-godzilla-x-king-kong-the-new-empire-hits-theatres,79,7.19,91.12,1.62,0.65,0.87,55.91
484,/article/who-is-jack-dunphy-in-capote-vs-the-swans,79,1.03,13.14,1.06,0.73,0.99,12.35
485,/article/melissa-benoist-milly-alcock-dcu-supergirl-casting/,79,0.46,5.92,1.01,0.6,0.92,5.82
486,/article/madame-web-box-office,78,0.97,12.55,1.65,0.67,0.95,7.58
487,/article/x-men-97-episode-3-jean-grey-clone-cliffhanger/,78,1.17,15.06,1.72,0.73,0.92,8.73
488,/article/where-to-watch-and-stream-mask-free-online,78,1.64,21.08,3.32,0.56,1.0,6.34
489,/article/where-to-watch-and-stream-wicked-little-letters-free-online,78,0.89,11.47,0.91,0.31,0.68,12.52
490,/article/world-war-hulk-next-avengers-movie-rumor,77,10.4,135.11,1.51,0.61,0.85,89.31
491,/article/is-shakugan-dead-sengoku-youko,76,0.41,5.43,1.02,0.71,0.64,5.3
492,/article/mothra-resurrection-godzilla-x-kong/,76,0.66,8.77,1.08,0.65,0.91,8.05
493,/article/masashi-kishimoto-toriyama-death,75,0.33,4.42,0.98,0.68,0.88,4.46
494,/article/answered-prayers-manuscript,74,1.92,26.02,1.21,0.69,0.9,21.43
495,/article/was-mariko-in-love-with-buntaro,74,30.86,417.09,1.4,0.63,0.85,296.78
496,/article/marvel-1943-details-taken-from-the-gdc-presentation,73,21.77,298.28,1.67,0.65,0.83,178.45
497,/article/yun-sung-bin-net-worth-how-rich-is-the-physical-100-iron-man,73,0.22,3.1,0.61,0.58,0.71,5.05
498,/article/crash-landing-on-you-ending-explained,73,1.17,16.07,0.99,0.76,0.91,16.13
499,/article/game-of-thrones-showrunners-potential-star-wars-return/,73,0.47,6.48,1.05,0.52,0.92,6.16
