I,slug,views,revenue,rpm,cpm,viewability,fillRate,impressionsPerPageview
500,/article/james-marsden-rumored-deadpool-and-wolverine-cameo/,73,0.67,9.31,1.24,0.62,0.98,7.5
501,/article/the-bad-batch-season-3-tk-trooper-armor,72,3.58,49.77,1.12,0.59,0.82,44.05
502,/article/lynda-carter-wonder-woman-3-happen-one-condition/,72,0.48,6.74,1.4,0.51,0.88,4.8
503,/article/wahlberg-baigan-vs-innocent-zero-who-wins-mashle,69,0.27,4.01,0.67,0.71,0.66,5.98
504,/article/do-lily-and-masatora-end-up-together-the-foolish-angel,68,0.69,10.2,1.47,0.63,0.7,6.91
505,/article/x-men-97-premiere-ending-cliffhanger,68,4.75,69.87,1.37,0.59,0.82,50.76
506,/article/is-dune-2s-soundtrack-on-vinyl-when-does-it-release,68,0.43,6.33,1.08,0.65,0.88,5.85
507,/article/cameron-monaghan-star-wars-live-action-debut-condition,67,0.62,9.29,1.46,0.6,0.98,6.35
508,/article/joker-2-jukebox-musical-15-cover-songs/,67,0.67,10.11,1.49,0.58,0.94,6.77
509,/article/who-does-tsubasa-shiki-end-up-with-in-hokkaido-gals,66,0.62,9.47,1.23,0.6,0.84,7.65
510,/article/pokemon-horizons-terastal-debut-arc-release-date-news,65,3.23,49.83,0.99,0.7,0.78,50.21
511,/article/how-strong-is-kusakabe-jujutsu-kaisen,65,1.46,22.49,0.78,0.43,0.63,28.66
512,/article/alien-romulus-first-trailer-drops-cameron-and-scott-involved,65,0.99,15.38,1.85,0.63,0.98,8.3
513,/article/disney-iwaju-meaning-title-explained,65,2.36,36.41,1.76,0.79,0.97,20.67
514,/article/puma-one-piece-sneaker-collab-designs-release-date,65,0.32,5.07,0.87,0.51,0.72,5.78
515,/article/was-stagg-r-leigh-from-american-fiction-a-real-person,65,1.31,20.28,1.66,0.72,0.97,12.15
516,/article/frieren-ubel-and-land-relationship-do-they-end-up-together,64,0.37,5.81,1.1,0.67,0.6,5.26
517,/article/cherry-magic-anime-film-announced,64,3.07,48.12,1.01,0.45,0.61,47.2
518,/article/tsukimichi-season-3-news-predictions,63,0.58,9.23,1.43,0.58,0.75,6.44
519,/article/spider-man-across-the-spider-verse-fans-not-happy-oscar-loss/,63,0.56,9.0,1.27,0.61,0.96,7.07
520,/article/marry-my-husband-oh-yu-ra,63,0.21,3.34,0.64,0.62,0.79,5.19
521,/article/world-war-hulk-next-avengers-movie-rumor/,62,0.62,10.06,1.27,0.69,0.97,7.87
522,/article/benedict-wong-upcoming-mcu-return/,62,0.5,8.21,1.32,0.56,0.92,6.2
523,/article/parasyte-live-action-release-date-announced,61,29.44,482.62,1.22,0.56,0.8,394.06
524,/article/why-cant-makoto-talk-tsukimichi,61,1.36,22.4,0.8,0.41,0.67,27.98
525,/article/what-happened-to-robin-on-sistas,61,1.82,29.92,1.72,0.74,0.99,17.36
526,/article/the-acolyte-showrunner-plans-season-2/,60,0.9,15.13,1.42,0.62,0.95,10.6
527,/article/nagakado-regent-attack,60,2.97,49.5,1.11,0.64,0.81,44.2
528,/article/is-buntaro-afraid-of-blackthorne,60,1.24,20.79,1.06,0.68,0.75,19.6
529,/article/mental-health-issues-take-center-stage-in-spider-man-short-film,60,1.3,21.8,1.76,0.71,0.98,12.31
530,/article/is-7th-time-loop-manga-over,59,0.38,6.53,1.02,0.65,0.77,6.37
531,/article/best-harem-anime,59,0.72,12.37,1.09,0.51,0.59,11.25
532,/article/rising-impact-announces-season-2-release-date,58,1.67,28.94,0.85,0.35,0.61,33.77
533,/article/x-men-97-first-reactions/,58,0.53,9.27,1.3,0.6,0.95,7.08
534,/article/is-pokemon-horizons-connected-ash-theories-easter-eggs,58,0.68,11.78,1.07,0.46,0.72,10.94
535,/article/danmachi-watch-order-series-ova-movies,57,0.37,6.64,0.51,0.87,0.86,12.85
536,/article/who-is-ronny-chieng-kung-fu-panda-4,57,25.72,451.37,1.26,0.58,0.86,356.36
537,/article/godzilla-x-kong-volkswagen,57,5.79,101.61,1.55,0.67,0.85,65.29
538,/article/x-men-97-first-reactions,57,13.33,233.94,1.38,0.62,0.84,168.54
539,/article/do-mash-and-lemon-end-up-together-mashle,57,0.31,5.57,0.88,0.66,0.56,6.29
540,/article/the-mandalorian-brendan-wayne-disappointing-season-4-update,57,7.88,138.33,1.4,0.62,0.84,98.56
541,/article/john-blackthornes-promotion-in-shogun-explained-what-does-hatamoto-mean,56,3.43,61.39,1.26,0.62,0.86,48.42
542,/article/disney-bd-droids-snatch-spotlight-during-nvidias-gtc-conference,55,7.33,133.31,1.61,0.62,0.84,82.72
543,/article/star-wars-daisy-ridley-supports-idea-of-turning-finn-into-a-jedi/,54,0.5,9.41,1.43,0.52,0.95,6.53
544,/article/is-dr-slump-on-crunchyroll-where-to-watch-in-the-us,54,1.23,22.84,0.98,0.44,0.7,23.22
545,/article/the-apothecary-diaries-anime-misses-meimei-lakan-detail,53,1.19,22.45,1.36,0.57,0.63,16.39
546,/article/ahmed-best-star-wars-return-secret-project,52,0.27,5.36,0.9,0.55,0.84,5.94
547,/article/deadpool-and-wolverine-kevin-feige-jokes,52,3.7,71.16,1.38,0.66,0.84,51.34
548,/article/3-body-problem-title-meaning,52,5.84,112.42,1.31,0.6,0.82,85.48
549,/article/x-men-97-episode-3-storm-fate-forge/,51,0.64,12.63,1.44,0.62,0.91,8.76
550,/article/rick-scared-of-roomba,51,16.32,320.0,1.22,0.67,0.81,261.58
551,/article/the-mandalorian-season-3-lack-din-djarin-bo-katan-romance,51,4.36,85.52,1.16,0.57,0.78,73.25
552,/article/sydney-sweeney-madame-web-box-office-failure,50,6.16,123.2,1.29,0.6,0.8,94.78
553,/article/lady-mariko-and-john-blackthornes-romance-explained-are-they-still-together,50,0.85,17.05,1.04,0.74,0.87,16.3
554,/article/baek-joong-yellow-pants,50,7.6,152.19,1.31,0.56,0.79,115.86
555,/article/kung-fu-panda-4-burger-king,50,1.95,39.1,1.21,0.57,0.83,32.26
556,/article/ahsoka-season-2-release-date-news-predictions-everything-we-know-so-far,49,0.67,13.82,1.58,0.61,0.95,8.69
557,/article/shogun-does-lady-mariko-know-about-buntaros-death,48,0.75,15.82,1.11,0.67,0.87,14.14
558,/article/joker-2-jukebox-musical-fan-reactions/,48,0.63,13.15,1.65,0.65,0.83,7.95
559,/article/where-to-watch-and-stream-the-chosen-season-4-free-online,47,0.51,10.91,1.81,0.71,0.91,6.0
560,/article/problem-anime-awards,47,1.79,38.1,0.75,0.43,0.73,50.57
561,/article/is-yuuki-sister-evil-chained-soldier-aoba-wakura,46,0.33,7.38,0.92,0.74,0.72,7.97
562,/article/bocchi-the-rock-dice-merch,46,1.39,30.31,1.02,0.41,0.7,29.58
563,/article/kate-middleton-shock-watch-duchess-of-cambridge-subtly-dispel-prince-william-split-rumors-during-platinum-jubilee,45,0.36,8.03,0.84,0.68,1.0,9.46
564,/article/how-old-amethio-pokemon-horizons,44,0.89,20.4,0.76,0.41,0.67,26.81
565,/article/invincible-season-2-part-2-how-many-episodes-will-there-be,44,11.36,258.32,1.37,0.63,0.85,188.43
566,/article/does-gambit-know-about-magneto-and-rogues-romance/,44,0.5,11.42,1.36,0.64,0.91,8.36
567,/article/will-lady-mariko-and-buntaro-divorce-in-shogun,43,2.55,59.46,1.27,0.65,0.79,46.81
568,/article/miyazaki-boy-and-the-heron-oscar-win-reaction,43,0.35,8.22,1.01,0.57,0.7,8.09
569,/article/two-jean-greys-in-x-men-97-theories-explored,42,0.62,14.82,1.27,0.61,0.8,11.64
570,/article/whoopi-goldberg-shock-the-view-host-weighs-350-pounds-ghost-actress-allegedly-has-an-unhealthy-lifestyle-that-worsened-post-holocaust-scandal,42,0.7,16.87,1.74,0.68,0.96,9.66
571,/article/the-bad-batch-s3-hunter-omega-wrecker-reunion-hug,42,1.85,44.12,1.2,0.61,0.81,36.52
572,/article/where-is-rick-jr-the-ones-who-live/,41,0.46,11.29,1.32,0.71,0.89,8.51
573,/article/kate-mckittrick-true-detective,41,0.17,4.34,0.62,0.63,0.96,7.0
574,/article/why-is-kong-wearing-a-glove,41,16.8,409.95,1.4,0.63,0.83,291.19
575,/article/why-is-miranda-hunting-greater-dragons-tsukimichi,41,0.97,23.79,1.04,0.57,0.69,22.73
576,/article/monsterverse-movies-in-order,40,9.82,245.58,1.39,0.63,0.81,176.5
577,/article/to-me-my-x-men-meaning,40,4.46,111.6,1.41,0.57,0.77,78.82
578,/article/where-to-buy-bocchi-the-rock-cardboard-box-backpack-release-date,39,3.6,92.32,0.96,0.53,0.75,96.05
579,/article/the-uncanny-counter-so-mun-and-ha-na,39,1.28,33.06,1.02,0.88,0.9,32.33
580,/article/who-is-studio-eclypse-new-berserk-anime-studio-visual/,39,0.52,13.34,1.59,0.67,0.85,8.35
581,/article/where-to-watch-and-stream-freuds-last-session-free-online,39,0.65,16.88,0.71,0.28,0.71,23.71
582,/article/shogun-toranaga-impeached,38,1.36,35.79,1.21,0.57,0.81,29.57
583,/article/7th-time-loop-rishe-and-arnold-relationship,38,1.53,40.26,0.82,0.47,0.71,48.63
584,/article/beastars-season-3-announces-two-cour-release-part-1,37,1.08,29.32,1.72,0.61,0.81,17.02
585,/article/katt-williams-pyramid-theory-explained-and-debunked,37,0.31,8.41,1.08,0.67,0.97,7.75
586,/article/is-dahye-evil-queen-of-tears,37,0.66,17.95,0.95,0.58,0.64,18.75
587,/article/to-me-my-x-men-meaning/,37,0.4,10.88,1.22,0.7,0.91,8.91
588,/article/best-romance-anime-with-a-happy-ending,37,0.51,13.91,1.32,0.69,0.55,10.54
589,/article/dune-part-2-does-paul-atreides-become-evil,37,2.69,72.94,1.11,0.56,0.77,65.24
590,/article/shawn-zanotti-wendy-williams,37,0.57,15.56,1.19,0.75,0.98,13.0
591,/article/star-wars-daisy-ridley-movie-rumored-title-debunked,36,0.36,10.11,0.98,0.55,0.81,10.22
592,/article/cowboy-bebop-teams-up-with-kentex-spike-spiegel-watch,36,1.16,32.35,0.72,0.37,0.56,44.63
593,/article/jean-grey-best-friend-x-men-97,36,33.43,928.7,1.56,0.64,0.83,594.3
594,/article/will-oliver-grayson-become-a-villain-in-invincible,36,22.07,613.22,1.39,0.65,0.83,438.83
595,/article/venom-3-google-listing-norman-reedus-as-aunt-may,36,0.45,12.67,1.17,0.56,0.94,10.77
596,/article/scream-7-brings-back-sidney-prescott-actress,35,5.59,159.9,1.31,0.63,0.84,121.31
597,/article/how-did-babe-paley-lose-her-teeth-fxs-feud-shows-what-happened,35,0.33,9.45,1.0,0.72,0.97,9.42
598,/article/haikyuu-battle-of-the-garbage-dump-box-office-success-kozume-kuroo-visual,35,0.49,14.19,0.7,0.41,0.58,20.08
599,/article/what-is-sofia-luto-relationship-tsukimichi,35,0.65,18.68,1.37,0.57,0.68,13.6
600,/article/jadis-maggie-painting-the-ones-who-live,35,14.57,416.45,1.41,0.63,0.8,294.2
601,/article/bucchigiri-title-meaning-explained,34,0.34,10.07,1.23,0.69,0.89,8.17
602,/article/what-is-terapagos-weakness-pokemon-horizons-theories,34,1.7,50.23,1.2,0.47,0.91,41.61
603,/article/mothra-resurrection-godzilla-x-kong,33,1.86,56.37,1.23,0.57,0.74,45.69
604,/article/where-to-watch-and-stream-sex-is-zero-2-free-online,33,0.9,27.41,0.92,0.3,0.78,29.48
605,/article/wedding-impossible-manhwa,33,14.62,443.04,1.15,0.6,0.84,383.72
606,/article/shang-chi-2-iron-fist-report,32,5.14,160.84,1.38,0.65,0.86,116.46
607,/article/prince-harry-heartbreak-queen-forbids-prince-william-from-doing-this-to-keep-the-throne-from-meghan-markles-husband,32,0.39,12.25,0.96,0.79,1.0,12.68
608,/article/muraji-real-name-shogun,32,0.58,18.27,1.04,0.73,0.8,17.4
609,/article/avatar-the-last-airbender-netflix-renewed-season-2-3,32,9.51,297.25,1.16,0.63,0.83,254.9
610,/article/is-invincible-blue-suit-cursed,30,11.79,393.32,1.38,0.62,0.85,283.5
611,/article/grant-morrison-zack-snyder-controversial-batman-take,30,15.18,506.03,1.52,0.64,0.86,332.03
612,/article/do-runa-and-ryuuto-end-up-together-our-dating-story,30,1.33,44.47,2.03,0.78,0.87,21.83
613,/article/where-to-watch-and-stream-enys-men-free-online,29,0.99,34.43,0.99,0.33,0.78,34.72
614,/article/prince-charles-shock-prince-of-wales-duchess-camillas-leaked-dirty-talk-ended-princess-diana-marriage,29,0.38,13.15,0.82,0.83,1.0,15.96
615,/article/what-happens-to-the-cakes-on-bake-squad,29,1.45,50.28,1.8,0.66,0.99,27.93
616,/article/does-will-die-3-body-problem,29,1.63,56.31,1.16,0.59,0.75,48.44
617,/article/will-there-be-a-peppermint-2-movie,29,0.79,27.28,2.13,0.73,0.99,12.75
618,/article/x-men-97-updates-opening-credits-original-show,29,1.64,56.61,1.3,0.63,0.83,43.24
619,/article/did-twomad-die-playing-overwatch,28,0.21,7.75,0.27,0.92,0.92,27.89
620,/article/star-wars-daisy-ridley-supports-idea-of-turning-finn-into-a-jedi,28,1.39,49.92,1.21,0.65,0.78,41.25
621,/article/new-gen-anime,28,1.01,36.2,0.86,0.34,0.57,41.71
622,/article/queen-of-tears-cloy-references,28,3.4,121.67,1.27,0.65,0.82,95.21
623,/article/sam-woolf-we-were-the-lucky-one,28,2.87,102.69,1.19,0.61,0.72,86.25
624,/article/dune-part-2-does-stilgar-betray-paul,27,9.7,359.56,1.2,0.63,0.83,297.44
625,/article/kung-fu-panda-4-soundtrack,27,0.39,14.62,1.04,0.5,0.78,14.0
626,/article/what-does-savory-chili-wcdonalds-taste-like,27,0.34,12.61,1.16,0.55,0.83,10.81
627,/article/who-does-jimmy-choose-love-is-blind-season-6,27,6.66,246.77,0.93,0.65,0.81,264.85
628,/article/spider-man-movies-back-in-theaters-release-dates,26,3.8,146.46,1.49,0.6,0.83,98.07
629,/article/frieren-prequel-light-novel-april-release-date,26,0.9,34.85,0.61,0.47,0.68,57.0
630,/article/dragon-ball-theme-park-to-open-in-saudi-arabia,26,2.27,87.42,1.32,0.57,0.78,65.96
631,/article/characters-in-invincible-season-2-part-2,26,1.16,44.86,0.96,0.6,0.71,46.61
632,/article/ride-or-die-trailer-reveals-hardest-mission-for-the-bad-boys,26,0.49,18.86,1.12,0.65,0.9,16.69
633,/article/chinese-anime-to-watch,25,0.25,10.05,0.85,0.63,0.66,11.76
634,/article/jean-grey-cerebro-x-men-97,25,2.0,80.24,1.46,0.63,0.91,54.68
635,/article/did-jango-fett-know-abou-omega-bad-batch-season-3-theories-explored,24,0.42,17.67,0.9,0.6,0.73,19.62
636,/article/netflix-reveals-grimm-variations-anime-release-date,24,5.27,219.79,1.35,0.62,0.79,162.25
637,/article/my-hero-academia-va-leads-viral-hit-cast,24,0.91,38.27,1.26,0.55,0.77,30.37
638,/article/who-is-yoshitsugu-matsuoka-tsukimichi-luto-voice-actor,24,0.36,15.01,1.0,0.52,0.8,14.87
639,/article/don-taylor-bob-marley,24,0.38,16.0,0.89,0.78,0.95,17.87
640,/article/giancarlo-esposito-potential-return-the-mandalorian-and-grogu,23,4.58,199.25,1.44,0.59,0.78,138.3
641,/article/anime-characters-green-hair,23,0.72,31.56,0.98,0.26,0.47,32.08
642,/article/who-does-fuutarou-uesugi-marry-and-end-up-with-in-quintessential-quintuplets,22,0.25,11.61,0.77,0.58,0.85,15.04
643,/article/solo-leveling-soundtrack-now-available-to-stream,22,2.09,95.27,1.2,0.57,0.74,79.31
644,/article/the-acolyte-season-2-reportedly-development,22,3.71,168.72,1.21,0.64,0.85,138.31
645,/article/leonardo-dicaprio-star-wars-audition-revealed,21,3.63,173.02,1.19,0.65,0.83,145.33
646,/article/the-bad-batch-s3-is-emerie-karr,21,2.04,97.53,1.03,0.57,0.75,94.28
647,/article/sasaki-and-peeps-season-2-release-date-news-predictions,21,2.9,138.28,1.22,0.58,0.76,112.47
648,/article/ghost-doctor-ending-explained-episode-16-recap-will-rains-young-min-remember-kim-bums-seung-tak,21,0.56,26.66,1.29,0.75,0.95,20.57
649,/article/is-the-chaebol-family-evil-queen-of-tears,21,0.94,44.94,1.03,0.65,0.81,43.47
650,/article/is-sung-suho-stronger-than-jin-woo-in-solo-leveling-abilities-compared,21,0.72,34.73,0.79,0.39,0.62,43.52
651,/article/angstrom-levy-invincible-season-2-part-2,20,1.76,88.46,1.44,0.57,0.85,61.35
652,/article/is-thorne-evil-in-the-ones-who-live,20,1.92,96.14,0.96,0.53,0.71,99.3
653,/article/is-baek-jung-a-villain-chicken-nugget,20,1.59,79.89,1.13,0.5,0.7,70.3
654,/article/the-gentlemen-based-on-a-book,19,6.76,355.98,1.16,0.61,0.82,306.05
655,/article/one-punch-man-every-main-character-age-and-birthday,19,0.29,15.45,0.69,0.81,0.9,22.15
656,/article/john-avlon-leaving-cnn,19,0.33,17.71,1.13,0.75,1.0,15.57
657,/article/sequids-invincible-season-2-part-2,18,1.95,108.87,1.13,0.49,0.73,96.0
658,/article/father-sal-scientist-immaculate,18,1.4,78.17,1.03,0.58,0.72,75.72
659,/article/the-acolyte-showrunner-plans-season-2,18,3.59,199.62,1.47,0.57,0.83,135.77
660,/article/does-holo-marry-lawrence-spice-and-wolf,18,0.74,41.21,1.69,0.55,0.69,24.27
661,/article/jakub-kurc-we-were-the-lucky-ones,17,14.18,834.48,1.35,0.68,0.83,615.11
662,/article/can-thraxan-babies-grow-fast,17,2.43,143.18,1.21,0.57,0.75,118.23
663,/article/eva-feiler-we-were-the-lucky-ones,17,3.9,229.88,1.49,0.7,0.84,153.82
664,/article/adventure-romance-anime-like-spice-and-wolf,17,0.31,18.5,0.94,0.27,0.38,19.52
665,/article/where-to-watch-and-stream-mujeres-asesinas-season-3-free-online,17,0.57,33.66,0.89,0.35,0.84,37.76
666,/article/what-is-a-cour-vs-a-season-in-anime-differences-and-terminology-explained,17,0.3,18.1,0.56,0.86,0.88,32.11
667,/article/new-jedi-order-film-reportedly-wont-be-a-trilogy,17,0.8,47.41,1.5,0.61,0.95,31.52
668,/article/are-the-martians-extinct-invincible,16,27.76,1735.08,1.42,0.59,0.83,1216.31
669,/article/where-to-watch-and-stream-the-devils-mistress-free-online,16,0.6,37.78,0.82,0.59,0.87,45.75
670,/article/30-most-overpowered-cards-in-magic-the-gathering-commander--edh,15,1.61,107.43,0.89,0.8,0.95,120.46
671,/article/the-bad-batch-omega-lula-reunion-fans,15,0.52,35.3,0.99,0.47,0.96,35.33
672,/article/griselda-blanco-cigarette,15,10.67,711.8,1.07,0.68,0.79,660.13
673,/article/gushing-over-magical-girls-characters-ranked-by-abilities,15,0.26,17.7,0.68,0.62,0.61,25.66
674,/article/can-paul-atreides-control-the-worms-in-dune,15,0.21,14.04,0.59,0.87,0.93,23.66
675,/article/why-does-toranaga-go-to-edo,15,5.16,344.04,1.24,0.57,0.8,276.0
676,/article/why-is-master-yamaji-killing-ninjas-ninja-kamui,14,0.41,29.37,0.95,0.46,0.68,30.64
677,/article/abbott-elementary-season-3-episode-6-delay,14,1.73,124.2,1.49,0.59,0.9,83.28
678,/article/robert-dielmann-artist,14,0.6,43.36,1.69,0.81,0.96,25.57
679,/article/bumper-crop-frieren-meaning,13,0.67,51.58,1.11,0.51,0.63,46.23
680,/article/tis-time-for-torture-princess-season-2-news,13,1.65,127.53,1.95,0.57,0.77,65.23
681,/article/studio-apartment-good-lighting-angel-included-release-date-news,13,0.2,15.91,0.53,0.41,0.64,29.53
682,/article/can-you-learn-bene-gesserit-sign-language-dune-2,13,7.02,540.23,1.37,0.63,0.84,391.53
683,/article/the-ultimate-one-piece-watch-order,12,0.41,34.91,0.39,0.88,0.94,89.33
684,/article/how-old-is-niffty-hazbin-hotel,12,0.46,38.41,0.78,0.95,0.96,48.91
685,/article/3-body-problem-timeline-explained,12,0.94,78.95,1.19,0.63,0.81,66.08
686,/article/spy-x-family-pubg-mobile-collab-announced,12,0.21,18.07,0.67,0.4,0.69,26.83
687,/article/mushoku-tensei-season-2-part-2-opening-ending-theme,12,0.32,27.12,0.75,0.48,0.71,35.91
688,/article/where-to-watch-and-stream-small-slow-but-steady-free-online,11,0.36,33.09,0.88,0.31,0.79,37.27
689,/article/where-to-watch-and-stream-kimagure-orange-road-i-want-to-return-to-that-day-free-online,11,0.29,26.59,0.94,0.26,0.71,28.0
690,/article/easiest-delicious-in-dungeon-recipes,11,0.22,20.66,0.79,0.27,0.53,26.0
691,/article/bartender-glass-of-god-release-date-news,11,0.18,17.12,0.56,0.31,0.51,30.27
692,/article/siqinnaatchiaq,11,0.53,48.87,0.79,0.91,0.96,61.27
693,/article/lack-of-director-in-spider-man-4-worries-fans,11,0.58,53.37,1.38,0.57,0.82,38.45
694,/article/is-madelyne-pryor-human,11,1.03,94.3,1.23,0.6,0.75,76.09
695,/article/where-is-rick-grimes-after-helicopter,11,20.46,1860.64,1.17,0.61,0.82,1577.81
696,/article/where-to-watch-and-stream-the-knight-of-shadows-between-yin-and-yang-free-online,10,0.34,34.45,0.67,0.51,0.85,51.4
697,/article/queen-of-tears-leopard-aunt,10,0.67,67.95,1.1,0.51,0.69,61.6
698,/article/will-there-be-an-ive-somehow-gotten-stronger-when-i-improved-my-farm-related-skills-season-2,10,0.75,75.64,1.46,0.81,0.97,51.8
699,/article/sengoku-youko-season-2-release-date-news-predictions,10,0.35,35.89,0.83,0.53,0.66,42.8
700,/article/where-to-watch-and-stream-the-silent-forest-free-online,9,0.41,46.3,0.96,0.3,0.77,47.77
701,/article/pure-romance-anime-series,9,0.51,57.46,1.12,0.84,0.81,50.88
702,/article/avatar-the-last-airbender-netflix-hei-bai,9,3.25,361.87,1.38,0.65,0.88,261.66
703,/article/hosokawa-gracia-shogun,8,0.07,9.13,0.22,0.92,0.98,41.0
704,/article/attack-on-titan-watch-order-how-to-watch-series-ova-movies-in-order,8,0.51,63.75,0.57,0.94,0.97,111.75
705,/article/where-to-watch-and-stream-imposters-season-2-free-online,8,1.28,160.25,1.32,0.69,0.91,121.37
706,/article/timothe-chalamet-signs-multi-film-warner-bros-deal-after-dune-and-wonka-success,8,0.88,110.88,1.8,0.64,0.84,61.37
707,/article/bad-batch-season-3-leak,8,0.31,38.87,0.42,0.94,0.98,91.37
708,/article/aaron-taylor-johnson-joining-kraven-the-hunter-movie,8,1.37,171.36,1.41,0.63,0.84,121.0
709,/article/is-fatima-pregnant-on-zatima,7,0.35,50.84,0.49,0.97,0.97,103.42
710,/article/where-to-watch-and-stream-naai-sekar-returns-free-online,7,0.45,64.5,1.23,0.28,0.72,52.14
711,/article/guide-how-to-curve-and-make-the-perfect-magic-the-gathering-draft-deck,7,0.9,128.87,1.73,0.84,1.0,74.28
712,/article/sand-land-tv-series-release-date-storyline,7,0.28,40.45,0.81,0.38,0.72,49.42
713,/article/carol-and-the-end-of-the-world-surfing,7,1.03,148.4,2.31,0.89,0.97,64.0
714,/article/mononoke-anime-film-reveals-july-release-date,6,0.71,119.38,0.87,0.75,0.85,137.16
715,/article/konosuba-watch-order,6,0.47,78.81,0.85,0.93,0.98,92.66
716,/article/who-does-alex-end-up-with-the-morning-show,5,0.13,27.16,0.42,0.92,1.0,64.2
717,/article/who-plays-douglas-on-bold-and-beautiful,5,0.47,94.76,0.95,0.58,0.71,99.6
718,/article/anime-character-tropes,5,1.59,318.84,1.99,0.79,0.95,159.8
719,/article/ripley-netflix-true-story,5,1.72,344.3,1.03,0.68,0.78,332.4
720,/article/lala-kent-argylle-movies-cast-cameos-explored,4,0.81,203.2,2.15,0.89,1.0,94.25
721,/article/ricky-stanicky-true-story,4,0.37,94.35,0.43,0.94,0.96,216.75
722,/article/han-yoo-ri-wonderful-world,4,0.46,116.12,1.08,0.53,0.76,107.5
723,/article/makoto-shinkai-reveals-hes-working-on-next-film,4,0.23,59.87,0.5,0.97,0.97,119.0
724,/article/star-trek-prequel-movie-andor-director-development,4,0.87,217.6,1.59,0.58,0.98,136.5
725,/article/alice-in-borderland-who-dies,4,0.73,184.65,1.34,0.96,0.97,137.5
726,/article/how-to-fix-crysis-trilogy-remastered-common-problems-issues-bugs-glitches-explained,3,0.86,288.86,0.97,0.9,0.97,296.66
727,/article/how-can-kyoshi-control-aang-netflix-avatar-live-action,3,0.3,100.26,1.04,0.48,0.75,96.0
728,/article/what-is-millie-bobby-browns-damsel-movie-about,3,1.94,648.3,1.22,0.6,0.82,530.0
729,/article/scott-pilgrim-universe-powers,3,0.39,131.03,0.99,0.87,0.98,131.66
730,/article/where-to-watch-and-stream-hidden-figures-free-online,3,0.26,87.13,0.73,0.96,1.0,119.33
731,/article/who-is-karen-force-tsukimichi-identity-plan-explained,3,0.47,159.13,0.66,0.87,0.96,240.66
732,/article/how-to-do-a-full-and-complete-respec-in-path-of-exile,3,0.32,108.9,0.33,0.9,0.96,328.66
733,/article/moving-webtoon-ending,3,0.3,102.9,0.92,0.88,0.92,111.66
734,/article/rwby-volume-8-recap,2,0.44,221.0,1.16,0.94,1.0,189.5
735,/article/where-is-kara-robinson-from-the-girl-who-escaped-the-kara-robinson-story-now,2,2.14,1073.95,0.9,0.59,0.71,1182.5
736,/article/is-makima-evil-in-chainsaw-man,2,0.39,198.1,0.93,0.89,0.97,213.0
737,/article/who-dies-in-leave-the-world-behind,2,0.22,114.2,0.58,0.92,0.93,196.5
738,/article/the-batman-2-movie-delayed-till-2026,2,4.74,2374.3,1.39,0.59,0.85,1701.5
739,/article/star-wars-the-acolyte-lands-official-release-window,1,0.36,364.3,0.83,0.82,1.0,434.0
740,/article/are-the-bene-gesserit-evil-dune-part-2,1,0.38,384.6,1.15,0.56,0.73,332.0
741,/article/where-to-watch-and-stream-istanbullu-gelin-season-2-free-online,1,1.11,1114.8,0.88,0.92,0.97,1261.0
742,/article/the-boys-season-4-political-plot-us-election,1,0.41,414.1,0.89,0.63,0.76,464.0
743,/article/why-naruto-fans-hate-sakura,1,0.3,307.3,0.73,0.96,1.0,416.0
744,/article/jujutsu-kaisen-fans-celebrate-gojo-birthday,1,0.7,705.7,1.0,0.85,1.0,702.0
745,/article/love-is-blind-matthew,0,0.23,0.0,0.78,0.57,0.76,0.0
746,/article/shindo-life-codes-new,0,0.33,0.0,0.87,0.93,0.95,0.0
