"Task ID","Task Name","Assignee","Due Date","CMS LINK (url)","Genre of Content (labels)","Type of Content (drop down)","Priority","Retime frequency (drop down)","Wordcount (drop down)","Date Created"
"86bwq6v0r","Best The Finals Heavy build","[]","Monday, December 11th 2023","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;e883d538-0a3c-4df9-80f2-2b0b57ace1c7%2Ctemplate%3Darticle","","Guide","none","",500,"Monday, December 11th 2023, 11:59:44 am +00:00"
"86bwq6uq3","Best The Finals Light build","[]","Monday, December 11th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;8f1bc1b2-07e1-4256-9368-31c15b84f0bb%2Ctemplate%3Darticle","","Guide","none","",500,"Monday, December 11th 2023, 11:59:11 am +00:00"
"86bwq6vgh","Is The Finals crossplay?","[]","Monday, December 11th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;8a8ec302-a150-411c-bb09-e5c547f39ea7","","Guide","none","",500,"Monday, December 11th 2023, 12:00:25 pm +00:00"
"86bwq6uyg","Best The Finals Medium build","[]","Monday, December 11th 2023","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;d55c73e5-49a9-4c25-a3a0-c08907ccd13b","","Guide","none","",500,"Monday, December 11th 2023, 11:59:35 am +00:00"
"86bwq6x7e","How to invite friends in The Finals","[]","Monday, December 11th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;58cd9983-d5e5-40b0-9ff7-8675fd477464","","Guide","none","",500,"Monday, December 11th 2023, 12:04:17 pm +00:00"
"86bwq6v7z","The Finals game modes list","[]","Monday, December 11th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;0624f596-fbe9-4362-94b3-5155995bea96%2Ctemplate%3Darticle","","Guide","none","",500,"Monday, December 11th 2023, 12:00:06 pm +00:00"
"86bwq6ugp","Best The Finals crosshair settings","[]","Monday, December 11th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;53f50b0b-1e44-4680-8de9-71d58055a07a","","Guide","none","",500,"Monday, December 11th 2023, 11:58:46 am +00:00"
"86bwrewxw","How to find The Finals Embark ID","[]","Thursday, December 14th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;e5fc5039-7281-487f-b0cb-f31e88c25696","[The Finals]","Guide","none","",500,"Thursday, December 14th 2023, 2:44:58 pm +00:00"
"86bwrewwa","Does The Finals use AI?","[]","Thursday, December 14th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;4e34e6a8-fd90-482e-a659-e0b695fe349f%2Ctemplate%3Darticle","[The Finals]","Guide","none","",500,"Thursday, December 14th 2023, 2:44:50 pm +00:00"
"86bwqu546","Is The Finals on Nintendo Switch?","[]","Tuesday, December 26th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;066aa31d-5e91-4e3f-a427-d2064d855d62","[The Finals]","Guide","none","",500,"Tuesday, December 12th 2023, 4:55:58 pm +00:00"
"86bwqu5w7","How to change username in The Finals","[]","Thursday, December 28th 2023","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;ff3f5f77-8046-4eac-b4ba-5099b8740ea0","[The Finals]","Guide","none","",500,"Tuesday, December 12th 2023, 4:58:04 pm +00:00"
"86bwqg2u1","The Finals weapon tier list","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;961f286e-aa99-4967-9a82-c6460a4cdbf3","[The Finals]","","URGENT","","","Tuesday, December 12th 2023, 9:29:45 am +00:00"
"86bwrqa15","The Finals patch notes","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;da2970d9-88bc-43d6-a46e-55a424e7c6a3","[The Finals]","Guide","URGENT","","","Friday, December 15th 2023, 12:43:39 pm +00:00"
"86bwqg2r5","Is The Finals a battle royale?","[Damiano Gerli]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;56435de4-a929-4b23-9a67-f410b1c5be20","[The Finals]","","URGENT","","","Tuesday, December 12th 2023, 9:29:38 am +00:00"
"86bwqg2mq","The Finals reserve loadout","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;21295b93-c049-4627-947d-fec7597fd32c","[The Finals]","","URGENT","","","Tuesday, December 12th 2023, 9:29:29 am +00:00"
"86bwqu5ja","The Finals server errors","[]","","https://content.gfinityesports.com/stealth/desk/workflow;mydraft;2c921a3a-fc2c-4243-9ada-7ff7e90682b7","[The Finals]","","URGENT","","","Tuesday, December 12th 2023, 4:57:22 pm +00:00"
"86bwrnmfg","The Finals meta","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;f0a1054b-e6fe-4bea-8e64-0e9bff44de51","[The Finals]","Guide","URGENT","","","Friday, December 15th 2023, 10:51:59 am +00:00"
"86bwx6agz","How to complete The Finals Detect 5 Opponents daily mission","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;8e303f8e-6302-456d-ba1d-234cb95158db","[The Finals]","","URGENT","","","Tuesday, January 2nd 2024, 11:06:53 am +00:00"
"86bwx6921","The Finals best Medium gun","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;c0200254-a9f1-4db5-9214-d850e1c91679","[The Finals]","","URGENT","","","Tuesday, January 2nd 2024, 11:05:40 am +00:00"
"86bwx699c","The Finals best Light gun","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;7895de70-ab67-4717-bdb8-e75036256e71","[The Finals]","","URGENT","","","Tuesday, January 2nd 2024, 11:05:50 am +00:00"
"86bwx8kj6","The Finals Season 2 hub","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;e70df4ab-95dd-4e8b-8d6b-a463f801525a","","","URGENT","","","Tuesday, January 2nd 2024, 11:52:56 am +00:00"
"86bw9e564","Is The Finals coming to PS4?","[Harry Redman]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;d6766d0c-40c7-4502-b5a8-6c6613d1415c","[The Finals]","","none","","","Monday, October 30th 2023, 12:28:45 pm +00:00"
"86bw9e4pj","The Finals performance guide - how to improve FPS","[Harry Redman]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;db5cd2a3-d224-4db9-a708-73adf32c087f","[The Finals]","","none","","","Monday, October 30th 2023, 12:28:17 pm +00:00"
"86bw9e5ae","The Finals Rank guide","[Harry Redman]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;c55594be-fb6a-43d5-9f4e-7d32eb05bafe","[The Finals]","","none","","","Monday, October 30th 2023, 12:28:54 pm +00:00"
"86bw9e4wq","The Finals best loadouts","[Harry Redman]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;a8791567-ac6c-496b-af8e-a1f41a250218","[The Finals]","","none","","","Monday, October 30th 2023, 12:28:27 pm +00:00"
"86bwqu5du","Best The Finals controller settings","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;2f7287ce-1068-4f57-a96d-06da65221f9e","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:57:04 pm +00:00"
"86bwqu5mh","Does The Finals have aim assist?","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;61906886-e9c7-4530-99aa-4201b1be3a6e","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:57:30 pm +00:00"
"86bwttd0b","The Finals system requirements","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;fbc715d8-c771-4182-ac43-4c5b21f72e05","[The Finals]","","none","","","Tuesday, December 19th 2023, 8:58:14 am +00:00"
"86bwqu4x0","How to fix stuttering in The Finals","[Damiano Gerli]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;3995326d-c6a0-4ee0-9a81-c37b33540b2b","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:55:04 pm +00:00"
"86bwqu5t3","The Finals Season 1 battle pass - all rewards","[Damiano Gerli]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;d70f88b0-d8a5-433f-9388-fc2e059a8380","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:57:51 pm +00:00"
"86bwqu5fj","Does The Finals have SBMM?","[Damiano Gerli]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;0b2744db-8cd7-4efe-913e-88f8f3cfef9c","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:57:13 pm +00:00"
"86bwqu51m","How to change crosshair in The Finals","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;4e232140-1a83-43bb-99eb-92ed04473792","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:55:37 pm +00:00"
"86bwqu52x","Best The Finals graphics settings","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;eae5bd7e-c321-4076-81e1-2928d5cc6400","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:55:48 pm +00:00"
"86bwx68tv","The Finals best Heavy gun","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;ba7b90ab-9923-42e9-b19d-52269bd5b1cf","[The Finals]","Guide","none","","","Tuesday, January 2nd 2024, 11:05:29 am +00:00"
"86bwybb3x","The Finals career rewards","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;6587fbcb-f4be-4282-8e48-b27bedbc5605","[The Finals]","","none","","","Thursday, January 4th 2024, 11:24:39 am +00:00"
"86bwybbv4","How to check stats in The Finals","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;05665bfe-2a05-442f-a953-db3cad0e9aa4","[The Finals]","","none","","","Thursday, January 4th 2024, 11:25:22 am +00:00"
"86bwxy5fh","Does The Finals have cross progression?","[]","","https://latest-content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;ddd0529c-abbe-4a45-88e9-4b7d84d729b6","[The Finals]","Guide","none","","","Wednesday, January 3rd 2024, 5:20:51 pm +00:00"
"86bwqu55m","The Finals Twitch drops","[]","","https://content.gfinityesports.com/gfinityesports/desk/workflow;mydraft;cd8b222c-d236-4ba9-9ae9-befd0b4d915a","[The Finals]","","none","","","Tuesday, December 12th 2023, 4:56:10 pm +00:00"