"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics,2026-02-25,Dynamics,2026-02-26,Dynamics,2026-02-27,Dynamics,2026-02-28,Dynamics
"fruit delivery",https://www.fruit4london.co.uk/,"Current targets",470,17,0,18,-1,17,1,19,-2,16,3,19,-3,17,2,19,-2,17,2,18,-1,18,0,15,3,17,-2,15,2,23,-8,38,-15,28,10,30,-2,38,-8,21,17,21,0,22,-1,21,1,26,-5,38,-12,31,7,30,1,37,-7
"fruit delivery london",https://www.fruit4london.co.uk/,"Current targets",170,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7,-6,3,4,3,0,4,-1,1,3,1,0,1,0,1,0,1,0,9,-8,1,8,1,0,1,0
"office fruit delivery",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",320,13,0,13,0,13,0,12,1,12,0,12,0,13,-1,13,0,14,-1,14,0,19,-5,16,3,17,-1,16,1,16,0,18,-2,19,-1,15,4,15,0,9,6,9,0,16,-7,16,0,15,1,18,-3,16,2,17,-1,14,3
"office fruit delivery london",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",90,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,4,-2,3,1,3,0,4,-1,2,2,3,-1,2,1,1,1,1,0,1,0,1,0
"home fruit delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,40,19,0,17,2,13,4,2,11,48,-46,2,46,2,0,2,0,3,-1,3,0,2,1,2,0,5,-3,18,-13,24,-6,24,0,24,0,24,0,24,0,20,4,20,0,13,7,5,8,5,0,2,3,14,-12,25,-11,16,9
"home fruit delivery london",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,"Current targets",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit office",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",140,19,0,9,10,10,-1,8,2,6,2,10,-4,6,4,5,1,7,-2,10,-3,12,-2,5,7,7,-2,10,-3,5,5,9,-4,18,-9,8,10,12,-4,8,4,9,-1,9,0,9,0,9,0,7,2,12,-5,14,-2,22,-8
"office fruit",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",170,13,0,13,0,13,0,4,9,4,0,4,0,4,0,4,0,15,-11,4,11,16,-12,4,12,4,0,4,0,4,0,4,0,3,1,4,-1,5,-1,3,2,4,-1,3,1,4,-1,4,0,4,0,5,-1,2,3,16,-14
"weekly office fruit delivery",https://www.fruit4london.co.uk/pages/office-delivery,"Current targets",10,5,0,14,-9,16,-2,9,7,5,4,5,0,5,0,5,0,10,-5,14,-4,17,-3,5,12,5,0,15,-10,16,-1,17,-1,3,14,5,-2,5,0,5,0,5,0,39,-34,5,34,38,-33,15,23,40,-25,4,36,40,-36
"fruit for offices london",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,1,1,1,0,1,0,1,0,1,0
"weekly fruit delivery to office",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,10,0,13,-3,12,1,11,1,13,-2,19,-6,21,-2,21,0,17,4,17,0,20,-3,14,6,19,-5,18,1,23,-5,26,-3,20,6,18,2,19,-1,23,-4,20,3,23,-3,24,-1,25,-1,9,16,19,-10,20,-1,5,15
"fresh fruit delivery to office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,4,0,76,-72,12,64,5,7,13,-8,13,0,13,0,13,0,5,8,12,-7,12,0,11,1,10,1,11,-1,16,-5,15,1,11,4,9,2,5,4,5,0,4,1,13,-9,13,0,14,-1,11,3,7,4,12,-5,14,-2
"fresh fruit for office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,8,0,9,-1,9,0,4,5,8,-4,8,0,94,-86,8,86,8,0,8,0,4,4,9,-5,9,0,9,0,9,0,12,-3,10,2,5,5,7,-2,5,2,3,2,9,-6,8,1,9,-1,9,0,2,7,6,-4,14,-8
"fruit delivery to office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",70,18,0,20,-2,20,0,16,4,20,-4,20,0,23,-3,22,1,20,2,21,-1,15,6,21,-6,22,-1,22,0,22,0,20,2,23,-3,18,5,21,-3,17,4,17,0,17,0,17,0,16,1,18,-2,11,7,17,-6,24,-7
"fruit for office delivery",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,15,0,15,0,17,-2,56,-39,76,-20,14,62,14,0,12,2,14,-2,14,0,14,0,14,0,12,2,12,0,17,-5,19,-2,19,0,18,1,17,1,14,3,9,5,16,-7,15,1,12,3,15,-3,13,2,15,-2,14,1
"Office fruit delivery uk",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,5,0,5,0,5,0,4,1,10,-6,10,0,10,0,11,-1,5,6,5,0,5,0,9,-4,8,1,13,-5,14,-1,14,0,9,5,14,-5,16,-2,5,11,13,-8,10,3,10,0,9,1,13,-4,13,0,14,-1,2,12
"fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,360,5,0,5,0,5,0,5,0,4,1,5,-1,4,1,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,5,-3,7,-2,5,2,5,0,2,3,2,0,2,0,2,0,9,-7,2,7,2,0
"fruit baskets delivered",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,6,0,5,1,5,0,5,0,6,-1,6,0,6,0,2,4,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,8,-6,7,1,7,0,2,5,2,0,2,0,2,0,2,0,7,-5,2,5,2,0
"gift fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,5,0,5,0,5,0,9,-4,7,2,6,1,8,-2,2,6,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,8,-6,8,0,7,1,2,5,2,0,2,0,2,0,2,0,8,-6,2,6,2,0
"fruit baskets for delivery",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,4,0,4,0,4,0,7,-3,7,0,8,-1,8,0,8,0,2,6,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,7,-5,7,0,8,-1,2,6,2,0,2,0,2,0,2,0,7,-5,9,-2,2,7
"fruit baskets near me",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,320,10,0,10,0,10,0,5,5,10,-5,5,5,13,-8,6,7,5,1,5,0,6,-1,8,-2,8,0,8,0,14,-6,6,8,6,0,5,1,11,-6,7,4,8,-1,9,-1,6,3,9,-3,8,1,8,0,9,-1,6,3
"get well fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets-birthday,,390,10,0,10,0,10,0,8,2,8,0,10,-2,10,0,10,0,9,1,9,0,10,-1,9,1,10,-1,9,1,8,1,9,-1,9,0,9,0,9,0,5,4,5,0,5,0,7,-2,9,-2,9,0,9,0,9,0,9,0
"gift and fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,6,0,6,0,6,0,9,-3,5,4,5,0,5,0,2,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,7,-5,8,-1,8,0,8,0,2,6,2,0,2,0,2,0,3,-1,2,1,2,0
"fruit baskets gifts",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,4,0,5,-1,4,1,5,-1,4,1,4,0,4,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,6,-2,4,2,4,0,2,2,2,0,2,0,7,-5,6,1,2,4,2,0
"fruit baskets as gifts",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,590,4,0,4,0,4,0,4,0,4,0,4,0,4,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,7,-4,3,4,2,1,2,0,2,0,2,0,2,0,8,-6,2,6,2,0
"fruit baskets delivered uk",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,170,4,0,4,0,4,0,3,1,3,0,2,1,2,0,2,0,1,1,2,-1,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,6,-4,7,-1,9,-2,1,8,1,0,2,-1,2,0,2,0,9,-7,8,1,2,6
"fruit baskets london uk",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit and veg delivery",https://www.fruit4london.co.uk/,,150,31,0,31,0,25,6,24,1,13,11,25,-12,23,2,26,-3,48,-22,48,0,28,20,16,12,26,-10,25,1,41,-16,55,-14,68,-13,75,-7,69,6,37,32,37,0,39,-2,41,-2,40,1,72,-32,60,12,41,19,38,3
"fruit and veg delivery near me",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,10,62,0,68,-6,77,-9,29,48,-,0,61,39,63,-2,63,0,37,26,37,0,63,-26,61,2,54,7,65,-11,58,7,94,-36,56,38,91,-35,-,0,96,4,65,31,53,12,52,1,59,-7,89,-30,91,-2,-,0,88,12
"fresh fruit and veg delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,590,44,0,47,-3,40,7,27,13,29,-2,40,-11,31,9,49,-18,46,3,46,0,46,0,41,5,39,2,45,-6,35,10,61,-26,35,26,42,-7,47,-5,40,7,35,5,36,-1,37,-1,34,3,40,-6,34,6,38,-4,59,-21
"fruit and veg box delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,260,46,0,53,-7,-,0,-,0,28,72,46,-18,43,3,49,-6,51,-2,51,0,45,6,45,0,44,1,45,-1,45,0,36,9,60,-24,64,-4,49,15,49,0,30,19,46,-16,46,0,39,7,45,-6,49,-4,46,3,45,1
"fruit and veg box delivery near me",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,320,69,0,67,2,69,-2,42,27,41,1,53,-12,50,3,50,0,51,-1,51,0,56,-5,49,7,68,-19,75,-7,68,7,64,4,-,0,-,0,-,0,-,0,59,41,62,-3,74,-12,50,24,78,-28,74,4,68,6,55,13
"delivery fruit and veg",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,1600,26,0,27,-1,22,5,21,1,31,-10,29,2,26,3,37,-11,34,3,36,-2,28,8,24,4,24,0,24,0,47,-23,44,3,34,10,60,-26,66,-6,39,27,37,2,43,-6,40,3,36,4,44,-8,40,4,41,-1,34,7
"fruit veg box delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,110,56,0,57,-1,62,-5,40,22,-,0,47,53,54,-7,54,0,51,3,52,-1,52,0,59,-7,54,5,53,1,51,2,47,4,60,-13,79,-19,82,-3,56,26,50,6,63,-13,46,17,47,-1,49,-2,53,-4,49,4,45,4
"local fruit and veg delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,320,39,0,51,-12,48,3,28,20,53,-25,50,3,49,1,46,3,63,-17,62,1,35,27,47,-12,56,-9,48,8,61,-13,56,5,52,4,67,-15,57,10,35,22,51,-16,53,-2,53,0,51,2,73,-22,59,14,56,3,65,-9
"fruit and veg deliveries",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,10,36,0,36,0,41,-5,24,17,37,-13,36,1,36,0,33,3,34,-1,34,0,34,0,37,-3,38,-1,24,14,43,-19,33,10,74,-41,81,-7,75,6,54,21,54,0,51,3,52,-1,57,-5,62,-5,51,11,48,3,48,0
"fruit & veg deliveries",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,1600,36,0,42,-6,29,13,25,4,21,4,32,-11,32,0,31,1,33,-2,32,1,30,2,34,-4,31,3,32,-1,37,-5,28,9,30,-2,33,-3,34,-1,35,-1,21,14,35,-14,21,14,28,-7,43,-15,46,-3,36,10,33,3
